Model;Link;Price usd($);Price UAH;City
Audi RS Q8 20214.0 TFSI S-tronic (600 л.c.) Quattro;https://auto.ria.com/newauto/auto-audi-rs-q8-1863907.html;154 081 $;4 193 369 грн;Днепр (Днепропетровск)
Audi Q7 2021S-Line 50 TDI 3.0 Tiptronic (286 л.с.) Quattro;https://auto.ria.com/newauto/auto-audi-q7-1863569.html;99 506 $;2 715 629 грн;Киев
Audi A8 2021Individual L 50 TDI Tip-tronic (286 л.с.) Quattro;https://auto.ria.com/newauto/auto-audi-a8-1860983.html;94 142 $;2 563 015 грн;Запорожье
Audi SQ7 2021Basis 4.0 TFSI Tip-tronic (507 л.с.) Quattro;https://auto.ria.com/newauto/auto-audi-sq7-1861456.html;132 000 $;3 570 336 грн;Киев
Audi Q5 2020Basis 40 TDI S-tronic (204 л.с.) Quattro;https://auto.ria.com/newauto/auto-audi-q5-1858973.html;70 305 $;1 914 055 грн;Запорожье
Audi A6 2021Sport 40 TDI S-tronic (204 л.с.) Quattro;https://auto.ria.com/newauto/auto-audi-a6-1861854.html;69 158 $;1 882 838 грн;Запорожье
Audi A4 2021Basis 40 TDI S-tronic (190 л.с.) Quattro;https://auto.ria.com/newauto/auto-audi-a4-1862220.html;60 622 $;1 639 699 грн;Киев
Audi Q7 2020S-Line 50 TDI 3.0 Tiptronic (286 л.с.) Quattro;https://auto.ria.com/newauto/auto-audi-q7-1860456.html;96 031 $;2 597 437 грн;Киев
Audi A6 2021Sport 40 TFSI 2.0 S-tronic (190 л.с.);https://auto.ria.com/newauto/auto-audi-a6-1863571.html;59 985 $;1 637 041 грн;Киев
Audi Q8 2021S-Line 50 TDI MHEV Tip-tronic (286 л.с.) Quattro;https://auto.ria.com/newauto/auto-audi-q8-1854151.html;99 900 $;2 702 095 грн;Киев
Audi Q5 2021Basis 40 TDI S-tronic (204 л.с.) Quattro;https://auto.ria.com/newauto/auto-audi-q5-1858487.html;78 337 $;2 118 871 грн;Киев
Audi SQ8 2021Basis 4.0 TFSI Tiptronic (507 л.с.) Quattro;https://auto.ria.com/newauto/auto-audi-sq8-1863861.html;108 581 $;2 955 073 грн;Днепр (Днепропетровск)
Audi SQ8 2021Basis 4.0 TDI Tiptronic (435 л.с.) Quattro;https://auto.ria.com/newauto/auto-audi-sq8-1861328.html;153 000 $;4 138 344 грн;Киев
Audi Q8 2020S-Line 50 TDI MHEV Tip-tronic (286 л.с.) Quattro;https://auto.ria.com/newauto/auto-audi-q8-1857334.html;98 652 $;2 668 333 грн;Днепр (Днепропетровск)
Audi A4 2020Basis 40 TFSI S-tronic (190 л.с.);https://auto.ria.com/newauto/auto-audi-a4-1861958.html;57 461 $;1 568 178 грн;Киев
Audi RS Q8 20214.0 TFSI S-tronic (600 л.c.) Quattro;https://auto.ria.com/newauto/auto-audi-rs-q8-1864151.html;180 841 $;5 145 600 грн;Киев
Audi Q8 2021S-Line 50 TDI MHEV Tip-tronic (286 л.с.) Quattro;https://auto.ria.com/newauto/auto-audi-q8-1864087.html;113 143 $;3 219 350 грн;Киев
Audi Q7 2021Individual 50 TDI 3.0 Tiptronic (286 л.с.) Quattro;https://auto.ria.com/newauto/auto-audi-q7-1863910.html;90 536 $;2 464 832 грн;Запорожье
Audi RS Q8 2021Individual 4.0 TFSI S-tronic (600 л.c.) Quattro;https://auto.ria.com/newauto/auto-audi-rs-q8-1831393.html;183 143 $;4 953 649 грн;Киев
Audi A6 2021Sport 45 TFSI S-tronic (245 л.с.) Quattro;https://auto.ria.com/newauto/auto-audi-a6-1863570.html;75 485 $;2 060 068 грн;Киев
Audi RS Q8 20214.0 TFSI S-tronic (600 л.c.) Quattro;https://auto.ria.com/newauto/auto-audi-rs-q8-1856847.html;234 293 $;6 337 155 грн;Киев
Audi SQ7 2021Basis 4.0 TFSI Tip-tronic (507 л.с.) Quattro;https://auto.ria.com/newauto/auto-audi-sq7-1863816.html;132 000 $;3 570 336 грн;Киев
