Model;Link;Price usd($);Price UAH;City
Bentley Flying Spur 2021W12 6.0i АТ (635 л.с.) AWD;https://auto.ria.com/newauto/auto-bentley-flying-spur-1864464.html;385 206 $;9 995 349 грн;Киев
Bentley Continental GT V8 20214.0i AT (550 л.с.) AWD;https://auto.ria.com/newauto/auto-bentley-continental-gt-v8-1864465.html;371 184 $;9 631 498 грн;Киев
Bentley Continental GT V8 20214.0i AT (550 л.с.) AWD;https://auto.ria.com/newauto/auto-bentley-continental-gt-v8-1864466.html;370 301 $;9 608 586 грн;Киев
Bentley Flying Spur 2021V8 4.0 АТ (550 л.с.) AWD;https://auto.ria.com/newauto/auto-bentley-flying-spur-1864467.html;366 180 $;9 501 661 грн;Киев
Bentley Flying Spur 2021V8 4.0 АТ (550 л.с.) AWD;https://auto.ria.com/newauto/auto-bentley-flying-spur-1858099.html;369 370 $;9 584 451 грн;Киев
Bentley Flying Spur 2021V8 4.0 АТ (550 л.с.) AWD;https://auto.ria.com/newauto/auto-bentley-flying-spur-1858101.html;368 864 $;9 571 315 грн;Киев
Bentley Flying Spur 2021V8 4.0 АТ (550 л.с.) AWD;https://auto.ria.com/newauto/auto-bentley-flying-spur-1858096.html;379 354 $;9 843 515 грн;Киев
Bentley Bentayga 2017Speed 6.0i АТ (635 л.с.);https://auto.ria.com/newauto/auto-bentley-bentayga-1832109.html;273 000 $;7 384 104 грн;Киев
Bentley Continental GT V8 20214.0i AT (550 л.с.) AWD;https://auto.ria.com/newauto/auto-bentley-continental-gt-v8-1857542.html;349 768 $;9 075 794 грн;Киев
Bentley Continental GT 2021V8 4.0i AT (550 л.с.) AWD;https://auto.ria.com/newauto/auto-bentley-continental-gt-1856572.html;364 978 $;9 871 918 грн;Киев
Bentley Continental GT 2021base 4.0 AT (550 л.с.) AWD;https://auto.ria.com/newauto/auto-bentley-continental-gt-1856573.html;370 866 $;10 031 175 грн;Киев
Bentley Bentayga 2021Speed 6.0 W12 TSI AT (635 л.с.) AWD;https://auto.ria.com/newauto/auto-bentley-bentayga-1861028.html;470 939 $;12 737 968 грн;Киев
Bentley Flying Spur 2021V8 4.0 АТ (550 л.с.) AWD;https://auto.ria.com/newauto/auto-bentley-flying-spur-1858100.html;373 668 $;9 695 959 грн;Киев
Bentley Flying Spur 2021V8 4.0 АТ (550 л.с.) AWD;https://auto.ria.com/newauto/auto-bentley-flying-spur-1858098.html;359 916 $;9 339 135 грн;Киев
Bentley Bentayga 20214.0i AT (550 л.с.) AWD;https://auto.ria.com/newauto/auto-bentley-bentayga-1856639.html;385 909 $;10 438 058 грн;Киев
Bentley Bentayga 20214.0i AT (550 л.с.) AWD;https://auto.ria.com/newauto/auto-bentley-bentayga-1858230.html;376 751 $;10 190 368 грн;Киев
