Model;Link;Price usd($);Price UAH;City
Mercedes-Benz GLE-Class 2020Coupe 400d AT (330 л.с.) 4Matic;https://auto.ria.com/newauto/auto-mercedes-benz-gle-class-1857007.html;105 960 $;2 866 018 грн;Киев
Mercedes-Benz GLE-Class 2021580 AT (489 л.с.) 4Matic;https://auto.ria.com/newauto/auto-mercedes-benz-gle-class-1864453.html;143 637 $;3 885 090 грн;Харьков
Mercedes-Benz GLE-Class 2020300d AT (245 л.с.) 4Matic;https://auto.ria.com/newauto/auto-mercedes-benz-gle-class-1858543.html;85 978 $;2 325 545 грн;Днепр (Днепропетровск)
Mercedes-Benz GLE-Class 2021Coupe 400d AT (330 л.с.) 4Matic;https://auto.ria.com/newauto/auto-mercedes-benz-gle-class-1857002.html;105 962 $;2 866 050 грн;Киев
Mercedes-Benz V-Class 2021base V 200d MT (136 л.с.);https://auto.ria.com/newauto/auto-mercedes-benz-v-class-1857967.html;57 102 $;1 544 482 грн;Киев
Mercedes-Benz GLA-Class 2019Mercedes-AMG GLA 45 AT (381 л.с.) 4Matic;https://auto.ria.com/newauto/auto-mercedes-benz-gla-class-1797942.html;68 206 $;1 844 845 грн;Киев
Mercedes-Benz GLE-Class 2021Coupe 400d AT (330 л.с.) 4Matic;https://auto.ria.com/newauto/auto-mercedes-benz-gle-class-1860722.html;127 777 $;3 456 112 грн;Киев
Mercedes-Benz S-Class 2021400d 9G-Tronic (330 л.с.) Long 4Matic;https://auto.ria.com/newauto/auto-mercedes-benz-s-class-1858954.html;229 584 $;6 209 775 грн;Киев
Mercedes-Benz Sprinter груз. 2020base 311 2.2 CDi MT (114 л.с.) 2WD;https://auto.ria.com/newauto/auto-mercedes-benz-sprinter-gruz-1841565.html;38 264 $;1 034 962 грн;Киев
Mercedes-Benz E-Class 2020Individual 200 9G-Tronic (197 л.с.) 4Matic;https://auto.ria.com/newauto/auto-mercedes-benz-e-class-1863034.html;72 289 $;1 955 283 грн;Харьков
Mercedes-Benz C-Class 2018base C 200 АТ (136 л.с.);https://auto.ria.com/newauto/auto-mercedes-benz-c-class-1864404.html;46 757 $;1 264 681 грн;Киев
Mercedes-Benz E-Class 2021New E 220d (195 л.с.) 4Matic;https://auto.ria.com/newauto/auto-mercedes-benz-e-class-1858523.html;75 183 $;2 033 558 грн;Днепр (Днепропетровск)
Mercedes-Benz G-Class 2021Base Mercedes-AMG G63 G-Ttonic (585 л.с.) 4Matic;https://auto.ria.com/newauto/auto-mercedes-benz-g-class-1822287.html;468 323 $;12 667 208 грн;Киев
Mercedes-Benz E-Class 2021220d 9G-Tronic (194 л.с.) 4Matic;https://auto.ria.com/newauto/auto-mercedes-benz-e-class-1858068.html;77 537 $;2 097 216 грн;Одесса
Mercedes-Benz EQC 2020400 AT (408 л.с.) 80 kWh 4Matic;https://auto.ria.com/newauto/auto-mercedes-benz-eqc-1847488.html;80 059 $;2 165 428 грн;Киев
