Model;Link;Price usd($);Price UAH;City
BMW X4 2021base M40i AT (360 л.с.) xDrive;https://auto.ria.com/newauto/auto-bmw-x4-1863879.html;80 956 $;2 189 694 грн;Ивано-Франковск
BMW F Series 2020850 GS;https://auto.ria.com/newauto/auto-bmw-f-series-1847723.html;18 367 $;496 782 грн;Харьков
BMW X4 2021base 20d AT (190 л.с.) xDrive;https://auto.ria.com/newauto/auto-bmw-x4-1863380.html;65 815 $;1 780 167 грн;Ивано-Франковск
BMW G Series 2020310 R;https://auto.ria.com/newauto/auto-bmw-g-series-1826273.html;7 300 $;197 439 грн;Харьков
BMW R Series 202018 Pure;https://auto.ria.com/newauto/auto-bmw-r-series-1837004.html;29 800 $;806 030 грн;Харьков
BMW X6 2021base 30d Stepotronic (265 л.с.) xDrive;https://auto.ria.com/newauto/auto-bmw-x6-1863996.html;99 861 $;2 701 034 грн;Львов
BMW X5 2021base 25d Steptronic (231 л.с.) xDrive;https://auto.ria.com/newauto/auto-bmw-x5-1862807.html;70 028 $;1 894 109 грн;Николаев
BMW X7 2021base 40i Steptronic (340 л.с.) xDrive;https://auto.ria.com/newauto/auto-bmw-x7-1864438.html;124 480 $;3 339 979 грн;Одесса
BMW F Series 2020900 XR;https://auto.ria.com/newauto/auto-bmw-f-series-1855201.html;16 159 $;437 073 грн;Львов
BMW X6 2021base 30d Stepotronic (265 л.с.) xDrive;https://auto.ria.com/newauto/auto-bmw-x6-1864391.html;101 338 $;2 741 000 грн;Харьков
BMW X6 2021base 30d Stepotronic (265 л.с.) xDrive;https://auto.ria.com/newauto/auto-bmw-x6-1864394.html;100 710 $;2 724 000 грн;Харьков
BMW X6 2021base 30d Stepotronic (265 л.с.) xDrive;https://auto.ria.com/newauto/auto-bmw-x6-1864392.html;100 710 $;2 724 000 грн;Харьков
BMW X5 2021base 30d Steptronic (265 л.с.) xDrive;https://auto.ria.com/newauto/auto-bmw-x5-1864088.html;88 717 $;2 399 616 грн;Ивано-Франковск
BMW X5 2021base 25d Steptronic (231 л.с.) xDrive;https://auto.ria.com/newauto/auto-bmw-x5-1864437.html;73 495 $;1 971 974 грн;Одесса
BMW X5 2021base 30d Steptronic (265 л.с.) xDrive;https://auto.ria.com/newauto/auto-bmw-x5-1859512.html;111 026 $;3 003 033 грн;Винница
BMW X5 M 2021Base Competition 4.4 Steptronic (625 л.с.) xDrive;https://auto.ria.com/newauto/auto-bmw-x5-m-1832262.html;210 746 $;5 700 255 грн;Киев
BMW X6 2021base 40i Stepotronic (340 л.с.) xDrive;https://auto.ria.com/newauto/auto-bmw-x6-1863236.html;108 704 $;108 704 $;Ужгород
