Model;Link;Price usd($);Price UAH;City
Citroen C-Elysee 2020Feel New 1.6 MТ (115 л.с.);https://auto.ria.com/newauto/auto-citroen-c-elysee-1850656.html;14 093 $;381 200 грн;Харьков
Citroen C5 Aircross 2020Shine 2.0 BHDi AT (180 л.с.);https://auto.ria.com/newauto/auto-citroen-c5-aircross-1825707.html;32 572 $;881 000 грн;Полтава
Citroen C5 Aircross 2021Feel Pack 1.5 BlueHDi AT (130 л.с.) S&S;https://auto.ria.com/newauto/auto-citroen-c5-aircross-1860678.html;30 478 $;30 478 $;Винница
Citroen C3 2021Feel 1.2 PureTech MT (83 л.с.);https://auto.ria.com/newauto/auto-citroen-c3-1846269.html;14 877 $;402 400 грн;Винница
Citroen C5 Aircross 2021Feel Pack 2.0 BHDi AT (180 л.с.);https://auto.ria.com/newauto/auto-citroen-c5-aircross-1864026.html;32 047 $;866 810 грн;Ивано-Франковск
Citroen C-Elysee 2020Feel New 1.6 MТ (115 л.с.);https://auto.ria.com/newauto/auto-citroen-c-elysee-1850661.html;14 330 $;387 600 грн;Харьков
Citroen Berlingo пасс. 2021Live Pack 1.6 HDi MT (92 л.с.) L2;https://auto.ria.com/newauto/auto-citroen-berlingo-pass-1863421.html;21 425 $;579 490 грн;Харьков
Citroen C-Elysee 2021Feel New 1.6 VTI MT (115 л.с.);https://auto.ria.com/newauto/auto-citroen-c-elysee-1864458.html;15 194 $;410 960 грн;Ивано-Франковск
Citroen C3 Aircross 2020Shine 1.2 PureTech VTi AT (110 л.с.);https://auto.ria.com/newauto/auto-citroen-c3-aircross-1840528.html;23 002 $;622 170 грн;Ивано-Франковск
Citroen C3 Aircross 2020Shine 1.2 PureTech VTi AT (110 л.с.);https://auto.ria.com/newauto/auto-citroen-c3-aircross-1860807.html;22 368 $;605 000 грн;Черкассы
Citroen Berlingo пасс. 2021Live Pack 1.6 HDi MT (92 л.с.) L2;https://auto.ria.com/newauto/auto-citroen-berlingo-pass-1862690.html;21 174 $;572 720 грн;Винница
Citroen C-Elysee 2020Feel New 1.6 VTI MT (115 л.с.);https://auto.ria.com/newauto/auto-citroen-c-elysee-1825717.html;13 827 $;374 000 грн;Полтава
Citroen Berlingo пасс. 2020Feel 1.6 HDi MT (92 л.с.) L1;https://auto.ria.com/newauto/auto-citroen-berlingo-pass-1858814.html;21 356 $;577 630 грн;Черкассы
Citroen Berlingo пасс. 2020Shine 1.6 HDi MT (92 л.с.) L1;https://auto.ria.com/newauto/auto-citroen-berlingo-pass-1855408.html;22 982 $;621 630 грн;Киев
Citroen C3 2020Feel 1.2 PureTech MT (83 л.с.);https://auto.ria.com/newauto/auto-citroen-c3-1861768.html;14 602 $;394 950 грн;Харьков
Citroen C5 Aircross 2021Feel Pack 2.0 BHDi AT (180 л.с.);https://auto.ria.com/newauto/auto-citroen-c5-aircross-1860950.html;32 051 $;866 910 грн;Харьков
Citroen Berlingo груз. 2021base Worker 1.6 HDi MT (92 л.с.) L2;https://auto.ria.com/newauto/auto-citroen-berlingo-gruz-1853547.html;20 482 $;554 000 грн;Полтава
Citroen Berlingo пасс. 2021Live Pack 1.6 HDi MT (92 л.с.) L2;https://auto.ria.com/newauto/auto-citroen-berlingo-pass-1857800.html;20 972 $;567 250 грн;Черкассы
Citroen Berlingo груз. 2021base Control 650 1.6 HDi MT (92 л.с.) L1;https://auto.ria.com/newauto/auto-citroen-berlingo-gruz-1863095.html;19 857 $;537 100 грн;Киев
