Model;Link;Price usd($);Price UAH;City
Fiat Tipo 2021Mid 1.4 МТ (95 л.с.);https://auto.ria.com/newauto/auto-fiat-tipo-1864455.html;15 044 $;406 900 грн;Житомир
Fiat Doblo пасс. 2020Panorama Pop New 1.4 MT (95 л.с.);https://auto.ria.com/newauto/auto-fiat-doblo-pass-1862189.html;17 078 $;464 000 грн;Полтава
Fiat Doblo пасс. 2021Active Lungo N1 New Maxi 1.6D MT (105 л.с.);https://auto.ria.com/newauto/auto-fiat-doblo-pass-1834594.html;21 188 $;586 900 грн;Харьков
Fiat Qubo пасс. 2021Easy 1.4 МТ (77 л.с.);https://auto.ria.com/newauto/auto-fiat-qubo-pass-1862068.html;13 394 $;363 900 грн;Полтава
Fiat Tipo 2021Mid 1.4 МТ (95 л.с.);https://auto.ria.com/newauto/auto-fiat-tipo-1859753.html;15 250 $;422 400 грн;Харьков
Fiat Ducato груз. 202140 Maxi XL L4H3 (295.HA2.4) (130 л.с.);https://auto.ria.com/newauto/auto-fiat-ducato-gruz-1864000.html;31 470 $;851 200 грн;Днепр (Днепропетровск)
Fiat Tipo 2021Entry 1.4 МТ (95 л.с.);https://auto.ria.com/newauto/auto-fiat-tipo-1859526.html;13 983 $;379 900 грн;Полтава
Fiat Tipo 2021Mid 1.4 МТ (95 л.с.);https://auto.ria.com/newauto/auto-fiat-tipo-1860089.html;15 044 $;406 900 грн;Днепр (Днепропетровск)
Fiat Qubo пасс. 2021Easy 1.4 МТ (77 л.с.);https://auto.ria.com/newauto/auto-fiat-qubo-pass-1863533.html;13 454 $;363 900 грн;Днепр (Днепропетровск)
Fiat 500 2021Base 1.2 AT (69 л.с.);https://auto.ria.com/newauto/auto-fiat-500-1863887.html;16 833 $;455 301 грн;Днепр (Днепропетровск)
Fiat Tipo 2021Entry 1.4 МТ (95 л.с.);https://auto.ria.com/newauto/auto-fiat-tipo-1859690.html;14 156 $;382 900 грн;Винница
Fiat Doblo груз. 2020New Maxi 1.3D МТ (90 л.с.);https://auto.ria.com/newauto/auto-fiat-doblo-gruz-1863693.html;17 262 $;466 900 грн;Винница
Fiat Doblo Panorama 2020Easy New 1.4 MT (95 л.с.);https://auto.ria.com/newauto/auto-fiat-doblo-panorama-1856394.html;17 078 $;464 000 грн;Полтава
Fiat Doblo пасс. 2020Active Lungo N1 New Maxi 1.3D MT (90 л.с.);https://auto.ria.com/newauto/auto-fiat-doblo-pass-1847725.html;20 186 $;546 000 грн;Харьков
Fiat Doblo Panorama 2020Easy New 1.4 MT (95 л.с.);https://auto.ria.com/newauto/auto-fiat-doblo-panorama-1861547.html;18 264 $;18 264 $;Винница
Fiat Qubo пасс. 2021Easy 1.3D MultiJet MT (75 л.с.);https://auto.ria.com/newauto/auto-fiat-qubo-pass-1858545.html;16 079 $;434 900 грн;Тернополь
Fiat 500 X 20201.0i MT (120 л.с.);https://auto.ria.com/newauto/auto-fiat-500-x-1848684.html;19 212 $;519 650 грн;Днепр (Днепропетровск)
Fiat Doblo груз. 2020New Maxi 1.3D МТ (90 л.с.);https://auto.ria.com/newauto/auto-fiat-doblo-gruz-1793676.html;17 262 $;466 900 грн;Днепр (Днепропетровск)
Fiat Ducato груз. 2020295. CCB.4 35 Maxi L4H1 (130 л.с.);https://auto.ria.com/newauto/auto-fiat-ducato-gruz-1837703.html;32 161 $;869 900 грн;Днепр (Днепропетровск)
