Model;Link;Price usd($);Price UAH;City
Ford Kuga 2020Titanium 2.0 EcoBlue AT (190 л.с.) AWD;https://auto.ria.com/newauto/auto-ford-kuga-1848147.html;34 320 $;928 282 грн;Полтава
Ford EcoSport 2020Titanium 1.0 EcoBoost AT (125 л.с.);https://auto.ria.com/newauto/auto-ford-ecosport-1862133.html;20 209 $;546 619 грн;Киев
Ford Kuga 2019Titanium New 2.0D AT (150 л.с.) 4WD;https://auto.ria.com/newauto/auto-ford-kuga-1863999.html;30 575 $;827 000 грн;Ивано-Франковск
Ford Puma 2020Lux 1.0 EcoBoost AT (125 л.с.);https://auto.ria.com/newauto/auto-ford-puma-1859919.html;27 850 $;753 300 грн;Тернополь
Ford Kuga 2020ST-Line 2.0 EcoBlue AT (190 л.с.) AWD;https://auto.ria.com/newauto/auto-ford-kuga-1862526.html;41 353 $;1 118 516 грн;Кропивницкий (Кировоград)
Ford Puma 2020Lux 1.0 EcoBoost AT (125 л.с.);https://auto.ria.com/newauto/auto-ford-puma-1858596.html;27 626 $;747 216 грн;Кропивницкий (Кировоград)
Ford Kuga 2019Titanium New 1.5D AT (120 л.с.);https://auto.ria.com/newauto/auto-ford-kuga-1863995.html;25 510 $;690 000 грн;Николаев
Ford Puma 2020ST-Line 1.0 EcoBoost AT (125 л.с.);https://auto.ria.com/newauto/auto-ford-puma-1845303.html;26 310 $;711 640 грн;Одесса
Ford Kuga 2020ST-Line 2.0 EcoBlue AT (190 л.с.) AWD;https://auto.ria.com/newauto/auto-ford-kuga-1845382.html;41 781 $;1 130 100 грн;Тернополь
Ford Kuga 2020Titanium 	1.5 EcoBlue AT (120 л.с.);https://auto.ria.com/newauto/auto-ford-kuga-1846504.html;30 630 $;828 467 грн;Кропивницкий (Кировоград)
Ford EcoSport 2020Lux 1.0 EcoBoost AT (125 л.с.);https://auto.ria.com/newauto/auto-ford-ecosport-1862804.html;22 788 $;616 360 грн;Киев
Ford Kuga 2021Titanium 1.5 EcoBoost AT (182 л.с.);https://auto.ria.com/newauto/auto-ford-kuga-1862514.html;31 553 $;853 446 грн;Николаев
Ford Ranger 2021WildTrak Двойная 2.0D EcoBlue AT (213 л.с.) AWD;https://auto.ria.com/newauto/auto-ford-ranger-1863864.html;50 985 $;1 379 048 грн;Киев
Ford Kuga 2021Titanium 1.5 EcoBoost AT (182 л.с.);https://auto.ria.com/newauto/auto-ford-kuga-1863932.html;30 649 $;829 000 грн;Ивано-Франковск
Ford Kuga 2020Titanium 	1.5 EcoBlue AT (120 л.с.);https://auto.ria.com/newauto/auto-ford-kuga-1862606.html;31 364 $;848 333 грн;Херсон
Ford Kuga 2021Titanium 	1.5 EcoBlue AT (120 л.с.);https://auto.ria.com/newauto/auto-ford-kuga-1863800.html;30 671 $;829 594 грн;Киев
Ford Ranger 2020Limited Двойная 2.0D EcoBlue AT (170 л.с.) AWD;https://auto.ria.com/newauto/auto-ford-ranger-1862452.html;45 148 $;1 221 160 грн;Киев
Ford Tourneo Custom 2021Titanium 2.0 TDI AT F320 (185 л.с.) L2H1;https://auto.ria.com/newauto/auto-ford-tourneo-custom-1808146.html;49 911 $;1 350 000 грн;Винница
Ford EcoSport 2020Titanium 1.0 EcoBoost AT (125 л.с.);https://auto.ria.com/newauto/auto-ford-ecosport-1834993.html;20 889 $;564 999 грн;Тернополь
Ford EcoSport 2020Lux 1.0 EcoBoost AT (125 л.с.);https://auto.ria.com/newauto/auto-ford-ecosport-1862727.html;22 075 $;597 094 грн;Полтава
Ford Tourneo Custom 2021Titanium 2.0 TDI AT F320 (185 л.с.) L2H1;https://auto.ria.com/newauto/auto-ford-tourneo-custom-1860327.html;55 937 $;1 512 972 грн;Киев
Ford Transit груз. 2020Trend 2.0D MT F350 (130 л.с.) L2H2;https://auto.ria.com/newauto/auto-ford-transit-gruz-1858959.html;35 186 $;951 720 грн;Полтава
Ford Transit груз. 2020Trend 2.0D MT F350 (130 л.с.) L2H2;https://auto.ria.com/newauto/auto-ford-transit-gruz-1852567.html;35 186 $;951 720 грн;Киев
Ford Kuga 2018Business New 1.5D AT (120 л.с.);https://auto.ria.com/newauto/auto-ford-kuga-1832928.html;24 031 $;650 000 грн;Днепр (Днепропетровск)
Ford Kuga 2020Lux 2.0 EcoBlue AT (190 л.с.) AWD;https://auto.ria.com/newauto/auto-ford-kuga-1845615.html;36 934 $;999 000 грн;Ивано-Франковск
Ford Focus 2020Connected 1.5 AT (120 л.с.);https://auto.ria.com/newauto/auto-ford-focus-1862744.html;24 607 $;665 560 грн;Полтава
Ford Kuga 2021Titanium 1.5 EcoBoost AT (182 л.с.);https://auto.ria.com/newauto/auto-ford-kuga-1860748.html;31 204 $;844 000 грн;Днепр (Днепропетровск)
Ford Ranger 2021Raptor 2.0 EcoBlue AT (213 л.с.) AWD;https://auto.ria.com/newauto/auto-ford-ranger-1857832.html;74 206 $;2 007 127 грн;Николаев
Ford Focus 2020Trend Edition 1.5 AT (120 л.с.);https://auto.ria.com/newauto/auto-ford-focus-1858948.html;22 599 $;611 265 грн;Полтава
Ford Focus 2020Connected 1.5 MT (120 л.с.);https://auto.ria.com/newauto/auto-ford-focus-1851202.html;22 370 $;605 055 грн;Полтава
Ford Puma 2021Titanium 1.0 EcoBoost AT (125 л.с.);https://auto.ria.com/newauto/auto-ford-puma-1862427.html;24 655 $;666 866 грн;Киев
Ford Transit груз. 2020Trend 2.0D MT R470 (170 л.с.) L4H3;https://auto.ria.com/newauto/auto-ford-transit-gruz-1791538.html;43 626 $;1 180 000 грн;Винница
Ford Puma 2021ST-Line 1.0 EcoBoost AT (125 л.с.);https://auto.ria.com/newauto/auto-ford-puma-1861688.html;26 018 $;703 743 грн;Киев
