Model;Link;Price usd($);Price UAH;City
Honda Civic 2021Elegance 1.6L i-VTEC CVT (125 л.с.);https://auto.ria.com/newauto/auto-honda-civic-1843347.html;25 876 $;699 900 грн;Одесса
Honda HR-V 2020Elegance 1,5 i-VTEC CVT (130 л.с.);https://auto.ria.com/newauto/auto-honda-hr-v-1833690.html;29 388 $;794 900 грн;Одесса
Honda CR-V 2020Executive 2.0 Hybrid i-MMD E-CVT (184 л.с.);https://auto.ria.com/newauto/auto-honda-cr-v-1851797.html;44 806 $;1 211 900 грн;Днепр (Днепропетровск)
Honda HR-V 2020Sport 1.5T CVT (182 л.с.);https://auto.ria.com/newauto/auto-honda-hr-v-1859936.html;35 008 $;946 900 грн;Одесса
Honda XR 2020150L;https://auto.ria.com/newauto/auto-honda-xr-1861661.html;2 699 $;73 000 грн;Днепр (Днепропетровск)
Honda CR-V 2021Individual 2.0 i-MMD Hybrid e-CVT (184 л.с.);https://auto.ria.com/newauto/auto-honda-cr-v-1838769.html;45 397 $;1 227 900 грн;Одесса
Honda CR-V 2021Prestige 1.5i VTEC Turbo CVT (193 л.с.) 4WD;https://auto.ria.com/newauto/auto-honda-cr-v-1839847.html;45 286 $;1 224 900 грн;Одесса
Honda CR-V 2020Executive 1,5L i-VTEC Turbo (193 л.с.) AWD;https://auto.ria.com/newauto/auto-honda-cr-v-1843022.html;40 924 $;1 106 900 грн;Одесса
Honda Jazz 2021Crosstar 1.5 i-MMD E-CVT (109 л.с.);https://auto.ria.com/newauto/auto-honda-jazz-1853895.html;32 531 $;879 900 грн;Одесса
Honda CR-V 2020Executive 1,5L i-VTEC Turbo (193 л.с.) AWD;https://auto.ria.com/newauto/auto-honda-cr-v-1856542.html;40 924 $;1 106 900 грн;Одесса
Honda CR-V 2021Prestige 1.5i VTEC Turbo CVT (193 л.с.) 4WD;https://auto.ria.com/newauto/auto-honda-cr-v-1832949.html;45 286 $;1 224 900 грн;Одесса
Honda Jazz 2021Individual 1.5 i-MMD E-CVT (109 л.с.);https://auto.ria.com/newauto/auto-honda-jazz-1845484.html;30 682 $;829 900 грн;Одесса
