Model;Link;Price usd($);Price UAH;City
Jeep Gladiator 2021Rubicon 3.6i AT (289 л.с.) AWD;https://auto.ria.com/newauto/auto-jeep-gladiator-1862595.html;85 700 $;2 338 753 грн;Киев
Jeep Grand Cherokee 2021Overland 3.0 АТ (238 л.с.) AWD;https://auto.ria.com/newauto/auto-jeep-grand-cherokee-1859603.html;54 000 $;1 473 660 грн;Киев
Jeep Wrangler 2021Sahara 3D 2.0i AT (272 л.с.) AWD;https://auto.ria.com/newauto/auto-jeep-wrangler-1862123.html;69 700 $;1 931 387 грн;Одесса
Jeep Renegade 2020Limited 1.3i AT (180 л.с.) AWD;https://auto.ria.com/newauto/auto-jeep-renegade-1810689.html;28 500 $;789 735 грн;Одесса
Jeep Grand Cherokee 2021Overland 3.0TD АТ (250 л.с.);https://auto.ria.com/newauto/auto-jeep-grand-cherokee-1811781.html;59 500 $;1 648 745 грн;Одесса
Jeep Renegade 2021Limited 1.4T AT (170 л.с.) AWD;https://auto.ria.com/newauto/auto-jeep-renegade-1838198.html;28 500 $;777 765 грн;Киев
Jeep Grand Cherokee 2021Overland 3.0TD АТ (250 л.с.);https://auto.ria.com/newauto/auto-jeep-grand-cherokee-1836192.html;59 500 $;1 623 755 грн;Киев
Jeep Grand Cherokee 2021Overland 3.0 АТ (238 л.с.) AWD;https://auto.ria.com/newauto/auto-jeep-grand-cherokee-1863650.html;54 000 $;1 496 340 грн;Одесса
Jeep Grand Cherokee 2021Overland 3.0 АТ (238 л.с.) AWD;https://auto.ria.com/newauto/auto-jeep-grand-cherokee-1864077.html;54 000 $;1 496 340 грн;Одесса
Jeep Grand Cherokee 2021Overland 3.0TD АТ (250 л.с.);https://auto.ria.com/newauto/auto-jeep-grand-cherokee-1857805.html;59 000 $;1 646 100 грн;Львов
Jeep Wrangler 2021Rubicon Unlimited 2.0i AT (272 л.с.) AWD;https://auto.ria.com/newauto/auto-jeep-wrangler-1857232.html;72 000 $;1 964 880 грн;Киев
Jeep Gladiator 2021Rubicon 3.6i AT (289 л.с.) AWD;https://auto.ria.com/newauto/auto-jeep-gladiator-1856629.html;80 000 $;2 183 200 грн;Киев
Jeep Wrangler 2021Rubicon 3D 2.0i AT (272 л.с.) AWD;https://auto.ria.com/newauto/auto-jeep-wrangler-1838190.html;65 600 $;1 790 224 грн;Киев
Jeep Wrangler 2021Sahara 3D 2.0i AT (272 л.с.) AWD;https://auto.ria.com/newauto/auto-jeep-wrangler-1860925.html;69 700 $;1 902 113 грн;Киев
Jeep Renegade 2021Limited 1.4T 6-DCT (140 л.с.);https://auto.ria.com/newauto/auto-jeep-renegade-1857246.html;25 000 $;697 500 грн;Львов
Jeep Grand Cherokee 2021Limited 3.0TD АТ (250 л.с.);https://auto.ria.com/newauto/auto-jeep-grand-cherokee-1838297.html;60 000 $;1 637 400 грн;Киев
Jeep Grand Cherokee 2021Overland 3.0 АТ (238 л.с.) AWD;https://auto.ria.com/newauto/auto-jeep-grand-cherokee-1842428.html;54 000 $;1 496 340 грн;Одесса
Jeep Grand Cherokee 2021Overland 3.0TD АТ (250 л.с.);https://auto.ria.com/newauto/auto-jeep-grand-cherokee-1853604.html;59 000 $;1 646 100 грн;Львов
Jeep Wrangler 2021Rubicon 3D 2.0i AT (272 л.с.) AWD;https://auto.ria.com/newauto/auto-jeep-wrangler-1860588.html;65 600 $;1 790 224 грн;Киев
Jeep Grand Cherokee 2021Overland 3.0TD АТ (250 л.с.);https://auto.ria.com/newauto/auto-jeep-grand-cherokee-1829808.html;59 000 $;1 646 100 грн;Львов
Jeep Wrangler 2021Sahara 3D 2.0i AT (272 л.с.) AWD;https://auto.ria.com/newauto/auto-jeep-wrangler-1860927.html;69 700 $;1 902 113 грн;Киев
Jeep Renegade 2021Limited 1.4T AT (170 л.с.) AWD;https://auto.ria.com/newauto/auto-jeep-renegade-1857781.html;28 500 $;795 150 грн;Львов
Jeep Grand Cherokee 2021Overland 3.0 АТ (238 л.с.) AWD;https://auto.ria.com/newauto/auto-jeep-grand-cherokee-1864039.html;54 000 $;1 460 592 грн;Днепр (Днепропетровск)
