Model;Link;Price usd($);Price UAH;City
Lexus NX 2021Business+ 300h AT (200 л.с.) AWD;https://auto.ria.com/newauto/auto-lexus-nx-1863927.html;53 632 $;1 450 641 грн;Одесса
Lexus RX 2021Business 300 AT (238 л.с.) AWD;https://auto.ria.com/newauto/auto-lexus-rx-1861812.html;57 725 $;1 572 429 грн;Киев
Lexus ES 2021Miyata 250 AT (207 л.с.);https://auto.ria.com/newauto/auto-lexus-es-1862640.html;50 089 $;1 354 820 грн;Одесса
Lexus UX 2021Ninja 250h CVT (184 л.с.);https://auto.ria.com/newauto/auto-lexus-ux-1864446.html;44 032 $;1 190 978 грн;Одесса
Lexus NX 2021Sport+ 200 AT (150 л.с.) AWD;https://auto.ria.com/newauto/auto-lexus-nx-1838805.html;43 605 $;1 187 800 грн;Киев
Lexus UX 2021Ginza 250h CVT (184 л.с.);https://auto.ria.com/newauto/auto-lexus-ux-1861813.html;43 690 $;1 190 116 грн;Киев
Lexus NX 2021Executive 300h AT (200 л.с.) AWD;https://auto.ria.com/newauto/auto-lexus-nx-1861917.html;53 285 $;1 458 410 грн;Днепр (Днепропетровск)
Lexus RX 2021Business 300 AT (238 л.с.) AWD;https://auto.ria.com/newauto/auto-lexus-rx-1863912.html;58 177 $;1 573 584 грн;Одесса
Lexus UX 2021Ginza 250h CVT (177 л.с.);https://auto.ria.com/newauto/auto-lexus-ux-1861823.html;43 776 $;1 198 149 грн;Днепр (Днепропетровск)
Lexus LX 2021570 Inkas VR6+ AT (367 л.с.);https://auto.ria.com/newauto/auto-lexus-lx-1816957.html;234 999 $;6 356 253 грн;Киев
Lexus RX 2021Sport+ 350 AT (300 л.с.) AWD;https://auto.ria.com/newauto/auto-lexus-rx-1851255.html;72 495 $;1 974 764 грн;Киев
Lexus RX 2021Executive+ 300 AT (238 л.с.) AWD;https://auto.ria.com/newauto/auto-lexus-rx-1836161.html;65 545 $;1 785 446 грн;Киев
Lexus RX 2021Executive+ 300 AT (238 л.с.) AWD;https://auto.ria.com/newauto/auto-lexus-rx-1853379.html;65 545 $;1 785 446 грн;Киев
Lexus RX 2021Individual 450h E-CVT (313 л.с.) AWD;https://auto.ria.com/newauto/auto-lexus-rx-1863258.html;93 965 $;2 559 607 грн;Киев
Lexus UX 2021Ginza 250h CVT (177 л.с.);https://auto.ria.com/newauto/auto-lexus-ux-1863752.html;43 776 $;1 198 149 грн;Днепр (Днепропетровск)
Lexus NX 2021Executive+ 300h AT (200 л.с.) AWD;https://auto.ria.com/newauto/auto-lexus-nx-1861814.html;56 805 $;1 547 368 грн;Киев
Lexus RX 2021Premium 450h E-CVT (313 л.с.) AWD;https://auto.ria.com/newauto/auto-lexus-rx-1861914.html;93 965 $;2 571 822 грн;Днепр (Днепропетровск)
Lexus UX 2021Ninja 250h CVT (184 л.с.);https://auto.ria.com/newauto/auto-lexus-ux-1859436.html;43 690 $;1 190 989 грн;Львов
Lexus RX 2021Executive+ 300 AT (238 л.с.) AWD;https://auto.ria.com/newauto/auto-lexus-rx-1863698.html;67 144 $;1 830 319 грн;Львов
Lexus UX 2021Ninja 250h CVT (184 л.с.);https://auto.ria.com/newauto/auto-lexus-ux-1863636.html;45 684 $;1 245 337 грн;Львов
Lexus ES 2021Miyata 250 AT (207 л.с.);https://auto.ria.com/newauto/auto-lexus-es-1852447.html;49 700 $;1 354 822 грн;Львов
Lexus GX 2021Executive 460 AT (296 л.с.);https://auto.ria.com/newauto/auto-lexus-gx-1860711.html;71 225 $;1 941 594 грн;Львов
Lexus NX 2021Business+ 300h E-CVT (197 л.с.) AWD;https://auto.ria.com/newauto/auto-lexus-nx-1860712.html;53 285 $;1 452 549 грн;Львов
Lexus NX 2021Sport+ 200 AT (150 л.с.) AWD;https://auto.ria.com/newauto/auto-lexus-nx-1860247.html;43 605 $;1 188 672 грн;Львов
Lexus RX 2021Executive+ 300 AT (238 л.с.) AWD;https://auto.ria.com/newauto/auto-lexus-rx-1863633.html;67 144 $;1 830 319 грн;Львов
Lexus RX 2021Executive+ 300 AT (238 л.с.) AWD;https://auto.ria.com/newauto/auto-lexus-rx-1819892.html;66 905 $;1 823 830 грн;Львов
Lexus NX 2021Sport+ 200 AT (150 л.с.) AWD;https://auto.ria.com/newauto/auto-lexus-nx-1857124.html;43 605 $;1 188 672 грн;Львов
Lexus RX 2021Sport+ 350 AT (300 л.с.) AWD;https://auto.ria.com/newauto/auto-lexus-rx-1853070.html;72 495 $;1 976 214 грн;Львов
Lexus UX 2020Ginza 250h CVT (184 л.с.);https://auto.ria.com/newauto/auto-lexus-ux-1854024.html;44 404 $;1 201 028 грн;Киев
Lexus RX 2021Business 300 AT (238 л.с.) AWD;https://auto.ria.com/newauto/auto-lexus-rx-1864240.html;58 225 $;1 574 870 грн;Киев
Lexus GX 2021Premium 460 AT (301 л.с.);https://auto.ria.com/newauto/auto-lexus-gx-1850546.html;71 315 $;1 928 928 грн;Киев
Lexus ES 2021Miyata 250 AT (207 л.с.);https://auto.ria.com/newauto/auto-lexus-es-1861011.html;54 075 $;1 462 621 грн;Киев
