Model;Link;Price usd($);Price UAH;City
Mazda CX-5 2021Touring S 2.0 SkyActiv-G AT (165 л.с.) 2WD;https://auto.ria.com/newauto/auto-mazda-cx-5-1863743.html;29 906 $;808 900 грн;Ивано-Франковск
Mazda CX-5 2021Touring Black Edition 2.0 SkyActiv-G AT (165 л.с.) 4WD;https://auto.ria.com/newauto/auto-mazda-cx-5-1864311.html;33 208 $;898 200 грн;Киев
Mazda CX-30 2021Style 2.0 SkyActive AT (150 л.с.);https://auto.ria.com/newauto/auto-mazda-cx-30-1861602.html;27 969 $;756 500 грн;Ивано-Франковск
Mazda CX-9 2021Style 2.5 АТ (231 л.с.) AWD;https://auto.ria.com/newauto/auto-mazda-cx-9-1862544.html;43 330 $;1 169 900 грн;Полтава
Mazda CX-5 2021Touring 2.0 SkyActiv-G AT (165 л.с.) 2WD;https://auto.ria.com/newauto/auto-mazda-cx-5-1864295.html;29 056 $;785 900 грн;Днепр (Днепропетровск)
Mazda CX-5 2021Touring 2.0 SkyActiv-G AT (165 л.с.) 2WD;https://auto.ria.com/newauto/auto-mazda-cx-5-1864296.html;29 056 $;785 900 грн;Днепр (Днепропетровск)
Mazda CX-5 2021Top 2.5 SkyActiv-G AT (194 л.с.) 4WD;https://auto.ria.com/newauto/auto-mazda-cx-5-1864297.html;42 428 $;1 147 600 грн;Днепр (Днепропетровск)
Mazda CX-5 2021Touring 2.0 SkyActiv-G AT (165 л.с.) 2WD;https://auto.ria.com/newauto/auto-mazda-cx-5-1864299.html;29 056 $;785 900 грн;Днепр (Днепропетровск)
Mazda CX-3 2021Touring + 2.0 SkyActiv-G АТ (121 л.с.);https://auto.ria.com/newauto/auto-mazda-cx-3-1864308.html;25 015 $;676 600 грн;Киев
Mazda CX-5 2021Top 2.5 SkyActiv-G AT (194 л.с.) 4WD;https://auto.ria.com/newauto/auto-mazda-cx-5-1863839.html;41 763 $;41 763 $;Винница
Mazda 6 2021Touring 2.0 AТ (165 л.с.);https://auto.ria.com/newauto/auto-mazda-6-1862753.html;27 322 $;739 000 грн;Днепр (Днепропетровск)
Mazda CX-3 2021Touring S+ 2.0 SkyActiv-G АТ (121 л.с.);https://auto.ria.com/newauto/auto-mazda-cx-3-1859750.html;25 884 $;700 100 грн;Киев
Mazda CX-30 2021Style 2.0 SkyActive AT (150 л.с.);https://auto.ria.com/newauto/auto-mazda-cx-30-1859799.html;27 969 $;756 500 грн;Киев
Mazda CX-30 2021Style 2.0 SkyActive AT (150 л.с.);https://auto.ria.com/newauto/auto-mazda-cx-30-1864301.html;27 969 $;756 500 грн;Днепр (Днепропетровск)
