Model;Link;Price usd($);Price UAH;City
Mitsubishi Outlander 2021Inform 2.0 CVT (145 л.с.) 2WD;https://auto.ria.com/newauto/auto-mitsubishi-outlander-1846008.html;22 146 $;599 000 грн;Черкассы
Mitsubishi ASX 2021Invite 1.6 MT (117 л.с.);https://auto.ria.com/newauto/auto-mitsubishi-asx-1860955.html;21 287 $;579 000 грн;Днепр (Днепропетровск)
Mitsubishi Eclipse Cross 2021Invite 2.0 MIVEC CVT (150 л.с.);https://auto.ria.com/newauto/auto-mitsubishi-eclipse-cross-1864462.html;24 253 $;656 000 грн;Ивано-Франковск
Mitsubishi ASX 2021Instyle 2.0 CVT (150 л.с.) 4WD;https://auto.ria.com/newauto/auto-mitsubishi-asx-1861911.html;27 913 $;755 000 грн;Одесса
Mitsubishi ASX 2021Instyle 2.0 CVT (150 л.с.) 4WD;https://auto.ria.com/newauto/auto-mitsubishi-asx-1852115.html;27 618 $;747 000 грн;Ивано-Франковск
Mitsubishi Outlander 2021Inform 2.0 CVT (145 л.с.) 2WD;https://auto.ria.com/newauto/auto-mitsubishi-outlander-1863553.html;22 023 $;599 000 грн;Днепр (Днепропетровск)
Mitsubishi ASX 2021Invite 1.6 MT (117 л.с.);https://auto.ria.com/newauto/auto-mitsubishi-asx-1852630.html;21 406 $;579 000 грн;Киев
Mitsubishi Outlander 2021Invite 2.0 CVT (145 л.с.) 2WD;https://auto.ria.com/newauto/auto-mitsubishi-outlander-1863621.html;24 964 $;679 000 грн;Днепр (Днепропетровск)
Mitsubishi Eclipse Cross 2021Intense 2.0 MIVEC CVT (150 л.с.);https://auto.ria.com/newauto/auto-mitsubishi-eclipse-cross-1860765.html;27 765 $;751 000 грн;Харьков
Mitsubishi Outlander 2021Inform 2.0 CVT (145 л.с.) 2WD;https://auto.ria.com/newauto/auto-mitsubishi-outlander-1852619.html;22 146 $;599 000 грн;Киев
Mitsubishi Outlander 2021Ultimate 2.4 CVT (167 л.с.) 4WD 7s;https://auto.ria.com/newauto/auto-mitsubishi-outlander-1856991.html;33 607 $;909 000 грн;Киев
Mitsubishi Outlander 2021Intense 2.0 CVT (145 л.с.) 4WD;https://auto.ria.com/newauto/auto-mitsubishi-outlander-1863959.html;28 671 $;775 500 грн;Одесса
Mitsubishi Eclipse Cross 2021Intense 2.0 MIVEC CVT (150 л.с.);https://auto.ria.com/newauto/auto-mitsubishi-eclipse-cross-1860200.html;28 061 $;759 000 грн;Киев
Mitsubishi Outlander 2021Invite 2.0 CVT (145 л.с.) 2WD;https://auto.ria.com/newauto/auto-mitsubishi-outlander-1861637.html;25 104 $;679 000 грн;Полтава
Mitsubishi Outlander 2021Intense 2.0 CVT (145 л.с.) 4WD;https://auto.ria.com/newauto/auto-mitsubishi-outlander-1841431.html;28 172 $;762 000 грн;Киев
Mitsubishi ASX 2020Invite 1.6 MT (117 л.с.);https://auto.ria.com/newauto/auto-mitsubishi-asx-1859424.html;20 519 $;555 000 грн;Киев
Mitsubishi Eclipse Cross 2021Ultimate 1.5 T-MIVEC CVT (150 л.с.) 4x4;https://auto.ria.com/newauto/auto-mitsubishi-eclipse-cross-1860853.html;33 052 $;899 000 грн;Днепр (Днепропетровск)
