Model;Link;Price usd($);Price UAH;City
Nissan X-Trail 2021Acenta New FL 1.6dCi MT (130 л.с.) 4WD;https://auto.ria.com/newauto/auto-nissan-x-trail-1864169.html;31 154 $;842 660 грн;Кропивницкий (Кировоград)
Nissan X-Trail 2021Acenta Navi New FL 1.6dCi CVT (130 л.с.);https://auto.ria.com/newauto/auto-nissan-x-trail-1848740.html;31 848 $;861 430 грн;Ивано-Франковск
Nissan Qashqai 2021Visia New FL 1.6dCi CVT (130 л.с.) 2WD;https://auto.ria.com/newauto/auto-nissan-qashqai-1856924.html;22 470 $;607 780 грн;Ивано-Франковск
Nissan X-Trail 2021Acenta New FL 1.6dCi MCVT (130 л.с.);https://auto.ria.com/newauto/auto-nissan-x-trail-1864028.html;31 848 $;861 430 грн;Николаев
Nissan X-Trail 2021Acenta New FL 1.6dCi MT (130 л.с.) 4WD;https://auto.ria.com/newauto/auto-nissan-x-trail-1861877.html;31 154 $;842 660 грн;Винница
Nissan Qashqai 2021Acenta Parking New FL 2.0 CVT (144 л.с.) 2WD;https://auto.ria.com/newauto/auto-nissan-qashqai-1862267.html;23 356 $;631 720 грн;Полтава
Nissan X-Trail 2021Visia New FL 2.0 MT (144 л.с.);https://auto.ria.com/newauto/auto-nissan-x-trail-1859832.html;24 205 $;654 700 грн;Львов
Nissan X-Trail 2020N-Connecta New FL 2.5 CVT (171 л.с.) 4WD;https://auto.ria.com/newauto/auto-nissan-x-trail-1860500.html;32 472 $;878 290 грн;Киев
Nissan X-Trail 2020Tekna New FL 2.5 CVT (171 л.с.) 4WD;https://auto.ria.com/newauto/auto-nissan-x-trail-1858431.html;36 232 $;980 000 грн;Киев
Nissan X-Trail 2020Acenta Navi New FL 1.6dCi CVT (130 л.с.);https://auto.ria.com/newauto/auto-nissan-x-trail-1861938.html;30 686 $;830 000 грн;Ивано-Франковск
Nissan Leaf 2021N-Connecta  40kWh AT (150 л.с.);https://auto.ria.com/newauto/auto-nissan-leaf-1863634.html;36 082 $;975 940 грн;Одесса
Nissan Qashqai 2021Acenta Parking New FL 1.6dCi CVT (130 л.с.) 2WD;https://auto.ria.com/newauto/auto-nissan-qashqai-1860263.html;25 206 $;681 770 грн;Николаев
Nissan Leaf 2021N-Connecta  40kWh AT (150 л.с.);https://auto.ria.com/newauto/auto-nissan-leaf-1863472.html;35 579 $;962 340 грн;Хмельницкий
Nissan X-Trail 2021Visia New FL 2.0 MT (144 л.с.);https://auto.ria.com/newauto/auto-nissan-x-trail-1861686.html;24 205 $;654 700 грн;Одесса
Nissan Qashqai 2021Acenta Parking New FL 2.0 CVT (144 л.с.) 2WD;https://auto.ria.com/newauto/auto-nissan-qashqai-1863458.html;23 356 $;631 720 грн;Одесса
Nissan Qashqai 2021Acenta Safety+Navi New FL 2.0 CVT (144 л.с.) 2WD;https://auto.ria.com/newauto/auto-nissan-qashqai-1856421.html;25 367 $;686 120 грн;Белая Церковь
Nissan Leaf 2021N-Connecta  40kWh AT (150 л.с.);https://auto.ria.com/newauto/auto-nissan-leaf-1862900.html;36 585 $;989 540 грн;Киев
Nissan Leaf 2021N-Connecta  40kWh AT (150 л.с.);https://auto.ria.com/newauto/auto-nissan-leaf-1863379.html;36 585 $;989 540 грн;Днепр (Днепропетровск)
Nissan Qashqai 2021Visia New FL 1.2 DIG-T MT (115 л.с.) 2WD;https://auto.ria.com/newauto/auto-nissan-qashqai-1856015.html;20 228 $;547 130 грн;Винница
Nissan Qashqai 2021Acenta Safety New FL 2.0 CVT (144 л.с.) 4WD;https://auto.ria.com/newauto/auto-nissan-qashqai-1862392.html;25 920 $;701 080 грн;Полтава
