Model;Link;Price usd($);Price UAH;City
Peugeot 3008 2021Active Pack 2.0 HDi AT (150 л.с.);https://auto.ria.com/newauto/auto-peugeot-3008-1857361.html;28 571 $;772 800 грн;Киев
Peugeot 3008 2021GT Pack 2.0 BLueHDi AT (180 л.с.) S&S;https://auto.ria.com/newauto/auto-peugeot-3008-1855625.html;41 441 $;1 120 900 грн;Киев
Peugeot 5008 2020GT 2.0 BlueHDi AT (180 л.с.) Start/Stop;https://auto.ria.com/newauto/auto-peugeot-5008-1864011.html;39 245 $;1 061 500 грн;Киев
Peugeot 5008 2020GT 2.0 BlueHDi AT (180 л.с.) Start/Stop;https://auto.ria.com/newauto/auto-peugeot-5008-1854954.html;38 812 $;1 049 800 грн;Киев
Peugeot Rifter 2021Allure 1.6 HDi MT (92 л.с.) L1;https://auto.ria.com/newauto/auto-peugeot-rifter-1859643.html;23 041 $;623 200 грн;Киев
Peugeot Rifter 2021Allure + 1.6 HDi MT (92 л.с.) L2;https://auto.ria.com/newauto/auto-peugeot-rifter-1863683.html;24 475 $;662 000 грн;Черкассы
Peugeot 2008 2021Active Pack 1.2 PureTech 6AT (130 л.с.) S/S;https://auto.ria.com/newauto/auto-peugeot-2008-1860763.html;22 039 $;596 100 грн;Киев
Peugeot Rifter 2021Active Pack 1.6 HDi MT (92 л.с.) L2;https://auto.ria.com/newauto/auto-peugeot-rifter-1862493.html;21 628 $;21 628 $;Винница
Peugeot 3008 2021Allure Pack 2.0 HDi AT (150 л.с.);https://auto.ria.com/newauto/auto-peugeot-3008-1836763.html;30 949 $;837 100 грн;Киев
Peugeot Rifter 2021Allure 1.6 HDi MT (92 л.с.) L2;https://auto.ria.com/newauto/auto-peugeot-rifter-1864457.html;24 771 $;670 000 грн;Винница
Peugeot Partner груз. 2021Grip 1.6 HDi MT (92 л.с.) L2 W;https://auto.ria.com/newauto/auto-peugeot-partner-gruz-1853145.html;21 355 $;577 600 грн;Винница
Peugeot 3008 2021Allure Pack 2.0 HDi AT (150 л.с.);https://auto.ria.com/newauto/auto-peugeot-3008-1836764.html;30 949 $;837 100 грн;Киев
Peugeot Rifter 2021Allure 1.6 HDi MT (92 л.с.) L2;https://auto.ria.com/newauto/auto-peugeot-rifter-1859732.html;24 031 $;650 000 грн;Винница
Peugeot 2008 2021GT 1.5 BlueHDi AT (130 л.с.) S/S;https://auto.ria.com/newauto/auto-peugeot-2008-1836974.html;29 137 $;788 100 грн;Киев
Peugeot 2008 2021GT 1.2 PureTech AT (155 л.с.) S/S;https://auto.ria.com/newauto/auto-peugeot-2008-1852142.html;27 765 $;751 000 грн;Киев
Peugeot Rifter 2020Allure 1.5 BlueHDi AT (130 л.с.) L2;https://auto.ria.com/newauto/auto-peugeot-rifter-1840004.html;35 300 $;954 800 грн;Ивано-Франковск
Peugeot 3008 2021Individual 2.0 HDi AT (150 л.с.);https://auto.ria.com/newauto/auto-peugeot-3008-1862532.html;32 891 $;889 640 грн;Одесса
Peugeot 208 2021Allure Pack 1.2 PureTech 6AT (130 л.с.);https://auto.ria.com/newauto/auto-peugeot-208-1863378.html;21 037 $;569 000 грн;Херсон
Peugeot Traveller 2021Active 2.0 BlueHDi AT (180 л.с.) L2;https://auto.ria.com/newauto/auto-peugeot-traveller-1856426.html;43 626 $;43 626 $;Житомир
Peugeot Rifter 2021Active Pack 1.6 HDi MT (92 л.с.) L1;https://auto.ria.com/newauto/auto-peugeot-rifter-1864091.html;21 002 $;568 070 грн;Ивано-Франковск
Peugeot 301 2021Active New 1.6 MT (115 л.с.);https://auto.ria.com/newauto/auto-peugeot-301-1853205.html;14 789 $;400 000 грн;Житомир
Peugeot 3008 2021Individual 1.5 BlueHDi AT (130  л.с.) S&S;https://auto.ria.com/newauto/auto-peugeot-3008-1862555.html;28 690 $;776 000 грн;Одесса
Peugeot Rifter 2021Active Pack 1.6 HDi MT (92 л.с.) L2;https://auto.ria.com/newauto/auto-peugeot-rifter-1864421.html;21 916 $;592 783 грн;Харьков
Peugeot Rifter 2021Allure 1.6 HDi MT (92 л.с.) L2;https://auto.ria.com/newauto/auto-peugeot-rifter-1864442.html;24 478 $;662 090 грн;Херсон
Peugeot Rifter 2021Allure 1.6 HDi MT (92 л.с.) L2;https://auto.ria.com/newauto/auto-peugeot-rifter-1864426.html;24 682 $;667 587 грн;Харьков
Peugeot Rifter 2021Allure 1.6 HDi MT (92 л.с.) L2;https://auto.ria.com/newauto/auto-peugeot-rifter-1864424.html;24 234 $;655 470 грн;Харьков
Peugeot 2008 2021Active Pack 1.2 PureTech 6AT (130 л.с.) S/S;https://auto.ria.com/newauto/auto-peugeot-2008-1863262.html;22 939 $;620 450 грн;Ивано-Франковск
Peugeot Rifter 2021Allure 1.6 HDi MT (92 л.с.) L2;https://auto.ria.com/newauto/auto-peugeot-rifter-1864423.html;24 682 $;667 587 грн;Харьков
Peugeot 3008 2021Allure Pack 2.0 HDi AT (150 л.с.);https://auto.ria.com/newauto/auto-peugeot-3008-1858436.html;32 535 $;880 000 грн;Винница
Peugeot Rifter 2021Allure 1.6 HDi MT (92 л.с.) L2;https://auto.ria.com/newauto/auto-peugeot-rifter-1864425.html;24 682 $;667 587 грн;Харьков
Peugeot Traveller 2021Active 2.0 BlueHDi AT (180 л.с.) L3;https://auto.ria.com/newauto/auto-peugeot-traveller-1861239.html;45 153 $;45 153 $;Черкассы
Peugeot 208 2021Allure Pack 1.2 PureTech 6AT (130 л.с.);https://auto.ria.com/newauto/auto-peugeot-208-1861675.html;21 454 $;580 300 грн;Черкассы
Peugeot 2008 2021GT 1.2 PureTech AT (155 л.с.) S/S;https://auto.ria.com/newauto/auto-peugeot-2008-1858850.html;27 765 $;751 000 грн;Киев
Peugeot 508 2021GT 2.0 HDi AT (180 л.с.);https://auto.ria.com/newauto/auto-peugeot-508-1852108.html;39 371 $;1 064 900 грн;Киев
Peugeot 2008 2021GT 1.5 BlueHDi AT (130 л.с.) S/S;https://auto.ria.com/newauto/auto-peugeot-2008-1836709.html;29 137 $;788 100 грн;Киев
