Model;Link;Price usd($);Price UAH;City
Renault Arkana 2020Intense 1.3 TCe CVT (150 л.с.) 4WD;https://auto.ria.com/newauto/auto-renault-arkana-1864403.html;25 270 $;683 500 грн;Кропивницкий (Кировоград)
Renault Dokker пасс. 2021Expression 1.5D МТ (90 л.с.);https://auto.ria.com/newauto/auto-renault-dokker-pass-1864459.html;19 048 $;515 200 грн;Днепр (Днепропетровск)
Renault Duster 2021Life 1.6 MT (115 л.с.) AWD;https://auto.ria.com/newauto/auto-renault-duster-1863707.html;18 881 $;510 700 грн;Кропивницкий (Кировоград)
Renault Megane 2020Intense New 1.5D AТ (110 л.с.);https://auto.ria.com/newauto/auto-renault-megane-1862567.html;24 401 $;660 000 грн;Кропивницкий (Кировоград)
Renault Sandero StepWay 2021Zen 1.5DСi 5МТ (90 л.с.);https://auto.ria.com/newauto/auto-renault-sandero-stepway-1840685.html;16 477 $;445 676 грн;Днепр (Днепропетровск)
Renault Express 2021Life 1.6 МТ (110 л.с.);https://auto.ria.com/newauto/auto-renault-express-1864120.html;16 267 $;440 000 грн;Луцк
Renault Lodgy 2021Intense 1.5D МТ (90 л.с.);https://auto.ria.com/newauto/auto-renault-lodgy-1837766.html;20 860 $;564 213 грн;Днепр (Днепропетровск)
Renault Sandero 2020Ultramarine base;https://auto.ria.com/newauto/auto-renault-sandero-1855870.html;16 201 $;438 200 грн;Киев
Renault Arkana 2020Intense+ 1.3 TCe CVT (150 л.с.);https://auto.ria.com/newauto/auto-renault-arkana-1852758.html;28 242 $;763 900 грн;Харьков
Renault Kadjar 2021Intense 1.5 DCi EDC6 (110 л.с.);https://auto.ria.com/newauto/auto-renault-kadjar-1854380.html;29 481 $;797 400 грн;Харьков
Renault Logan 2021Life+ New 1.0 MT (73 л.с.);https://auto.ria.com/newauto/auto-renault-logan-1863675.html;12 045 $;325 786 грн;Киев
