Model;Link;Price usd($);Price UAH;City
Land Rover Range Rover 2021SVAutobiography Dynamic 5.0 S/C АТ (565 л.с.) AWD;https://auto.ria.com/newauto/auto-land-rover-range-rover-1856632.html;222 518 $;6 018 673 грн;Киев
Land Rover Range Rover 2020SVAutobiography Dynamic 5.0 S/C АТ (565 л.с.) AWD LWB;https://auto.ria.com/newauto/auto-land-rover-range-rover-1838927.html;264 904 $;7 165 125 грн;Киев
Land Rover Range Rover 2021HSE 300D MHEV АТ (300 л.с.) AWD SWB;https://auto.ria.com/newauto/auto-land-rover-range-rover-1864413.html;142 436 $;3 852 608 грн;Киев
Land Rover Range Rover Sport 2021SE Pack 3.0 TD AT (249 л.с.) AWD;https://auto.ria.com/newauto/auto-land-rover-range-rover-sport-1864444.html;101 134 $;2 838 995 грн;Днепр (Днепропетровск)
Land Rover Range Rover 2021HSE 300D MHEV АТ (300 л.с.) AWD SWB;https://auto.ria.com/newauto/auto-land-rover-range-rover-1864117.html;138 004 $;3 732 743 грн;Киев
Land Rover Range Rover Evoque 2021S 1.5 P160 AT (160 л.с.);https://auto.ria.com/newauto/auto-land-rover-range-rover-evoque-1864432.html;51 968 $;1 458 827 грн;Днепр (Днепропетровск)
Land Rover Discovery Sport 2021S 2.0D АT (163 л.с.) AWD;https://auto.ria.com/newauto/auto-land-rover-discovery-sport-1863832.html;54 547 $;1 475 379 грн;Киев
Land Rover Range Rover Sport 2020SVR 5.0 S/C AT (575 л.с.) AWD;https://auto.ria.com/newauto/auto-land-rover-range-rover-sport-1862919.html;189 612 $;5 128 637 грн;Киев
Land Rover Defender 2021SE 110 3.0D AT (250 л.с.);https://auto.ria.com/newauto/auto-land-rover-defender-1864012.html;88 432 $;2 391 910 грн;Киев
Land Rover Range Rover 2020Autobiography 5.0 S/C АТ (525 л.с.) AWD;https://auto.ria.com/newauto/auto-land-rover-range-rover-1836840.html;209 306 $;5 661 308 грн;Киев
Land Rover Range Rover 2021Vogue 300D MHEV АТ (300 л.с.) AWD SWB;https://auto.ria.com/newauto/auto-land-rover-range-rover-1862227.html;164 558 $;4 450 976 грн;Киев
Land Rover Discovery Sport 2021S D150 2.0 АT (150 л.с.) AWD;https://auto.ria.com/newauto/auto-land-rover-discovery-sport-1857513.html;57 019 $;1 542 253 грн;Одесса
Land Rover Range Rover 2021Vogue 300D MHEV АТ (300 л.с.) AWD LWB;https://auto.ria.com/newauto/auto-land-rover-range-rover-1862860.html;148 111 $;4 157 690 грн;Днепр (Днепропетровск)
