Model;Link;Price usd($);Price UAH;City
Skoda Octavia 2019Ambition A7 New 1.4 TSI AT (150 л.с.);https://auto.ria.com/newauto/auto-skoda-octavia-1863691.html;22 246 $;620 000 грн;Одесса
Skoda Kodiaq 2021Style 2.0 TDI AT (150 л.с.) 4x4;https://auto.ria.com/newauto/auto-skoda-kodiaq-1862877.html;37 341 $;1 010 000 грн;Харьков
Skoda Karoq 2021Style 1.4 TSI AT (150 л.с.);https://auto.ria.com/newauto/auto-skoda-karoq-1855416.html;27 616 $;746 950 грн;Ивано-Франковск
Skoda Octavia 2020Ambition 1.5 TSI MT (150 л.с.);https://auto.ria.com/newauto/auto-skoda-octavia-1854251.html;22 865 $;637 796 грн;Кременчуг
Skoda Karoq 2021Style 1.4 TSI AT (150 л.с.);https://auto.ria.com/newauto/auto-skoda-karoq-1863692.html;26 491 $;738 331 грн;Одесса
Skoda Octavia 2021Ambition 1.4 TSI MT (150 л.с.);https://auto.ria.com/newauto/auto-skoda-octavia-1864015.html;21 054 $;569 460 грн;Краматорск
Skoda Superb 2020Style 2.0 TSI DSG (190 л.с.);https://auto.ria.com/newauto/auto-skoda-superb-1862270.html;37 700 $;1 019 710 грн;Харьков
Skoda Karoq 2021Style 1.4 TSI AT (150 л.с.);https://auto.ria.com/newauto/auto-skoda-karoq-1863240.html;27 450 $;742 468 грн;Харьков
Skoda Karoq 2021Active 1.4 TSI AT (150 л.с.);https://auto.ria.com/newauto/auto-skoda-karoq-1859422.html;23 900 $;646 447 грн;Харьков
Skoda Kamiq 2021Active 1.6 MPI MT (110 л.с.);https://auto.ria.com/newauto/auto-skoda-kamiq-1864445.html;19 558 $;529 000 грн;Херсон
Skoda Kodiaq 2021Style 2.0 TDI AT (200 л.с.) 4x4;https://auto.ria.com/newauto/auto-skoda-kodiaq-1863189.html;43 006 $;1 163 230 грн;Краматорск
Skoda Octavia 2021Ambition 1.6 MPI AT (110 л.с.);https://auto.ria.com/newauto/auto-skoda-octavia-1864306.html;22 821 $;617 262 грн;Одесса
Skoda Scala 2021Style 1.5 TSI DSG (150 л.с.);https://auto.ria.com/newauto/auto-skoda-scala-1863697.html;22 255 $;620 269 грн;Одесса
Skoda Karoq 2021Style 2.0 TDI MT (115 л.с.);https://auto.ria.com/newauto/auto-skoda-karoq-1863284.html;27 680 $;772 106 грн;Кременчуг
Skoda Kamiq 2021Active 1.6 MPI MT (110 л.с.);https://auto.ria.com/newauto/auto-skoda-kamiq-1863291.html;18 278 $;509 847 грн;Кременчуг
Skoda Karoq 2021Style 1.4 TSI AT (150 л.с.);https://auto.ria.com/newauto/auto-skoda-karoq-1864323.html;26 531 $;739 446 грн;Днепр (Днепропетровск)
Skoda Kodiaq 2021Style 2.0 TDI AT (200 л.с.) 4x4;https://auto.ria.com/newauto/auto-skoda-kodiaq-1864153.html;42 887 $;1 160 000 грн;Херсон
Skoda Fabia 2020Style FL 1.0 TSI DSG (110 л.с.);https://auto.ria.com/newauto/auto-skoda-fabia-1863700.html;20 093 $;560 000 грн;Одесса
Skoda Karoq 2021Style 1.4 TSI AT (150 л.с.);https://auto.ria.com/newauto/auto-skoda-karoq-1864322.html;26 531 $;739 446 грн;Киев
Skoda Octavia 2021Style 1.4 TSI AT (150 л.с.);https://auto.ria.com/newauto/auto-skoda-octavia-1864417.html;29 870 $;833 194 грн;Кременчуг
Skoda Octavia 2021Style 1.4 TSI AT (150 л.с.);https://auto.ria.com/newauto/auto-skoda-octavia-1864414.html;29 870 $;833 194 грн;Кременчуг
Skoda Superb 2021Style 2.0 TSI DSG (190 л.с.);https://auto.ria.com/newauto/auto-skoda-superb-1861991.html;37 700 $;1 050 737 грн;Днепр (Днепропетровск)
Skoda Octavia 2020Ambition A7 New 1.4 TSI AT (150 л.с.);https://auto.ria.com/newauto/auto-skoda-octavia-1859739.html;23 405 $;652 300 грн;Днепр (Днепропетровск)
Skoda Scala 2020Style 1.5 TSI DSG (150 л.с.);https://auto.ria.com/newauto/auto-skoda-scala-1863815.html;22 826 $;617 400 грн;Краматорск
Skoda Kodiaq 2021Style 2.0 TDI 7-DSG (200 л.с.) 4х4;https://auto.ria.com/newauto/auto-skoda-kodiaq-1864405.html;41 150 $;1 147 838 грн;Кременчуг
Skoda Octavia 2021Style 1.4 TSI AT (150 л.с.);https://auto.ria.com/newauto/auto-skoda-octavia-1862416.html;28 550 $;795 717 грн;Днепр (Днепропетровск)
Skoda Scala 2020Ambition 1.5 TSI DSG (150 л.с.);https://auto.ria.com/newauto/auto-skoda-scala-1862423.html;22 732 $;633 564 грн;Днепр (Днепропетровск)
Skoda Karoq 2021Style 1.4 TSI AT (150 л.с.);https://auto.ria.com/newauto/auto-skoda-karoq-1859717.html;26 491 $;738 331 грн;Днепр (Днепропетровск)
Skoda Superb 2021Style 2.0 TSI DSG (190 л.с.);https://auto.ria.com/newauto/auto-skoda-superb-1859001.html;40 467 $;1 094 540 грн;Краматорск
Skoda Karoq 2021Style 1.4 TSI AT (150 л.с.);https://auto.ria.com/newauto/auto-skoda-karoq-1862403.html;26 306 $;733 175 грн;Днепр (Днепропетровск)
Skoda Octavia 2021Ambition 1.4 TSI AT (150 л.с.);https://auto.ria.com/newauto/auto-skoda-octavia-1859858.html;25 750 $;696 486 грн;Харьков
Skoda Octavia 2020Ambition 1.5 TSI MT (150 л.с.);https://auto.ria.com/newauto/auto-skoda-octavia-1863414.html;24 182 $;654 070 грн;Краматорск
Skoda Superb 2021Style 2.0 TSI DSG (190 л.с.);https://auto.ria.com/newauto/auto-skoda-superb-1862667.html;40 761 $;1 102 500 грн;Ивано-Франковск
Skoda Octavia 2021Ambition 1.4 TSI AT (150 л.с.);https://auto.ria.com/newauto/auto-skoda-octavia-1847824.html;24 203 $;654 630 грн;Краматорск
Skoda Karoq 2021Style 1.4 TSI AT (150 л.с.);https://auto.ria.com/newauto/auto-skoda-karoq-1862553.html;22 964 $;621 130 грн;Краматорск
Skoda Octavia 2021Active 1.4 TSI MT (150 л.с.);https://auto.ria.com/newauto/auto-skoda-octavia-1848069.html;21 055 $;569 500 грн;Ивано-Франковск
Skoda Superb 2021Style 2.0 TSI DSG (190 л.с.);https://auto.ria.com/newauto/auto-skoda-superb-1863719.html;39 478 $;1 101 199 грн;Кременчуг
Skoda Superb 2021Style 2.0 TSI DSG (190 л.с.);https://auto.ria.com/newauto/auto-skoda-superb-1855358.html;38 640 $;1 045 135 грн;Одесса
Skoda Karoq 2021Style 1.4 TSI AT (150 л.с.);https://auto.ria.com/newauto/auto-skoda-karoq-1861047.html;27 150 $;734 353 грн;Одесса
Skoda Scala 2021Active 1.6 MPI MT (110 л.с.);https://auto.ria.com/newauto/auto-skoda-scala-1861500.html;16 582 $;448 500 грн;Ивано-Франковск
Skoda Kamiq 2021Active 1.6 MPI MT (110 л.с.);https://auto.ria.com/newauto/auto-skoda-kamiq-1855405.html;18 190 $;492 000 грн;Харьков
Skoda Kodiaq 2021Sportline 2.0 TSI AT (180 л.с.) 4x4;https://auto.ria.com/newauto/auto-skoda-kodiaq-1851378.html;40 742 $;1 102 000 грн;Херсон
Skoda Kodiaq 2021Style 2.0 TDI 7-DSG (150 л.с.) 4х4;https://auto.ria.com/newauto/auto-skoda-kodiaq-1863289.html;37 980 $;1 059 414 грн;Кременчуг
Skoda Kodiaq 2021Style 2.0 TDI AT (150 л.с.) 4x4;https://auto.ria.com/newauto/auto-skoda-kodiaq-1863868.html;39 485 $;1 068 000 грн;Херсон
Skoda Octavia 2020Individual 1.4 TSI AT (150 л.с.);https://auto.ria.com/newauto/auto-skoda-octavia-1855108.html;32 831 $;888 000 грн;Херсон
Skoda Kamiq 2021Style 1.6 MPI AT (110 л.с.);https://auto.ria.com/newauto/auto-skoda-kamiq-1863297.html;22 780 $;635 425 грн;Кременчуг
Skoda Kamiq 2021Ambition 1.6 MPI MT (110 л.с.);https://auto.ria.com/newauto/auto-skoda-kamiq-1863370.html;20 374 $;568 312 грн;Кременчуг
Skoda Scala 2021Active 1.6 MPI MT (110 л.с.);https://auto.ria.com/newauto/auto-skoda-scala-1846421.html;16 859 $;456 000 грн;Харьков
Skoda Kamiq 2021Active 1.6 MPI AT (110 л.с.);https://auto.ria.com/newauto/auto-skoda-kamiq-1849715.html;19 521 $;528 000 грн;Харьков
Skoda Scala 2021Active 1.6 MPI MT (110 л.с.);https://auto.ria.com/newauto/auto-skoda-scala-1863019.html;18 190 $;492 000 грн;Харьков
Skoda Kamiq 2021Ambition 1.6 MPI AT (110 л.с.);https://auto.ria.com/newauto/auto-skoda-kamiq-1863371.html;21 868 $;609 986 грн;Кременчуг
Skoda Kamiq 2021Ambition 1.6 MPI AT (110 л.с.);https://auto.ria.com/newauto/auto-skoda-kamiq-1863372.html;22 033 $;614 588 грн;Кременчуг
Skoda Kamiq 2021Ambition 1.6 MPI AT (110 л.с.);https://auto.ria.com/newauto/auto-skoda-kamiq-1863373.html;21 868 $;609 986 грн;Кременчуг
Skoda Octavia 2021Ambition 1.5 TSI MT (150 л.с.);https://auto.ria.com/newauto/auto-skoda-octavia-1846585.html;23 574 $;637 630 грн;Одесса
Skoda Kamiq 2021Style 1.6 MPI AT (110 л.с.);https://auto.ria.com/newauto/auto-skoda-kamiq-1863298.html;22 780 $;635 425 грн;Кременчуг
Skoda Fabia 2021Ambition 1.0 TSI MT (95 л.с.);https://auto.ria.com/newauto/auto-skoda-fabia-1850539.html;15 783 $;426 890 грн;Краматорск
Skoda Octavia 2021Ambition 1.6 MPI AT (110 л.с.);https://auto.ria.com/newauto/auto-skoda-octavia-1857714.html;23 366 $;632 000 грн;Харьков
Skoda Kamiq 2021Active 1.6 MPI AT (110 л.с.);https://auto.ria.com/newauto/auto-skoda-kamiq-1862976.html;20 778 $;562 000 грн;Харьков
Skoda Octavia 2021Ambition 1.4 TSI AT (150 л.с.);https://auto.ria.com/newauto/auto-skoda-octavia-1863092.html;25 917 $;701 000 грн;Харьков
Skoda Kodiaq 2021Style 2.0 TSI AT (180 л.с.) 4x4;https://auto.ria.com/newauto/auto-skoda-kodiaq-1863582.html;36 786 $;995 000 грн;Херсон
Skoda Octavia 2021Style 1.4 TSI AT (150 л.с.);https://auto.ria.com/newauto/auto-skoda-octavia-1862565.html;29 457 $;796 745 грн;Краматорск
Skoda Scala 2019Style 1.6 TDI DSG (115 л.с.);https://auto.ria.com/newauto/auto-skoda-scala-1855076.html;24 401 $;660 000 грн;Херсон
Skoda Kodiaq 2021Style 2.0 TSI AT (180 л.с.) 4x4;https://auto.ria.com/newauto/auto-skoda-kodiaq-1863589.html;36 786 $;995 000 грн;Херсон
Skoda Superb 2021Ambition 2.0 TDI DSG (190 л.с.) CR;https://auto.ria.com/newauto/auto-skoda-superb-1861501.html;37 544 $;1 015 500 грн;Ивано-Франковск
Skoda Karoq 2021Active 1.4 TSI AT (150 л.с.);https://auto.ria.com/newauto/auto-skoda-karoq-1861502.html;22 978 $;621 500 грн;Ивано-Франковск
Skoda Kodiaq 2021Ambition 2.0 TDI AT (150 л.с.) 4x4;https://auto.ria.com/newauto/auto-skoda-kodiaq-1862434.html;34 694 $;935 000 грн;Кропивницкий (Кировоград)
Skoda Kodiaq 2021Style 2.0 TDI AT (200 л.с.) 4x4;https://auto.ria.com/newauto/auto-skoda-kodiaq-1863200.html;41 221 $;1 110 900 грн;Кропивницкий (Кировоград)
Skoda Superb 2020Style 2.0 TSI DSG (190 л.с.);https://auto.ria.com/newauto/auto-skoda-superb-1862374.html;39 826 $;1 073 300 грн;Кропивницкий (Кировоград)
Skoda Octavia 2020Ambition 1.4 TSI AT (150 л.с.);https://auto.ria.com/newauto/auto-skoda-octavia-1864443.html;25 047 $;675 000 грн;Кропивницкий (Кировоград)
Skoda Scala 2020Style 1.5 TSI DSG (150 л.с.);https://auto.ria.com/newauto/auto-skoda-scala-1863629.html;21 893 $;589 990 грн;Кропивницкий (Кировоград)
Skoda Octavia 2020Ambition 1.5 TSI MT (150 л.с.);https://auto.ria.com/newauto/auto-skoda-octavia-1859197.html;23 704 $;638 800 грн;Кропивницкий (Кировоград)
Skoda Kodiaq 2021Style 2.0 TDI AT (150 л.с.) 4x4;https://auto.ria.com/newauto/auto-skoda-kodiaq-1863822.html;37 960 $;1 023 000 грн;Кропивницкий (Кировоград)
Skoda Scala 2020Style 1.5 TSI DSG (150 л.с.);https://auto.ria.com/newauto/auto-skoda-scala-1840465.html;21 857 $;591 186 грн;Винница
Skoda Karoq 2021Style 1.4 TSI AT (150 л.с.);https://auto.ria.com/newauto/auto-skoda-karoq-1841366.html;27 765 $;751 000 грн;Тернополь
Skoda Kodiaq 2021Individual 2.0 TDI AT (150 л.с.) 4x4;https://auto.ria.com/newauto/auto-skoda-kodiaq-1857457.html;38 561 $;1 043 000 грн;Тернополь
Skoda Kodiaq 2021Individual 2.0 TDI AT (150 л.с.) 4x4;https://auto.ria.com/newauto/auto-skoda-kodiaq-1854365.html;38 561 $;1 043 000 грн;Тернополь
Skoda Kodiaq 2021Individual 2.0 TDI AT (150 л.с.) 4x4;https://auto.ria.com/newauto/auto-skoda-kodiaq-1857286.html;38 561 $;1 043 000 грн;Тернополь
Skoda Kodiaq 2021Style 2.0 TDI AT (190 л.с.) 4x4;https://auto.ria.com/newauto/auto-skoda-kodiaq-1863122.html;41 227 $;1 115 105 грн;Винница
Skoda Karoq 2021Style 1.4 TSI AT (150 л.с.);https://auto.ria.com/newauto/auto-skoda-karoq-1857799.html;27 805 $;752 079 грн;Винница
Skoda Superb 2021Style New 2.0 TSI AT (190 л.с.);https://auto.ria.com/newauto/auto-skoda-superb-1860873.html;40 539 $;1 096 500 грн;Днепр (Днепропетровск)
Skoda Octavia 2021Ambition 1.4 TSI AT (150 л.с.);https://auto.ria.com/newauto/auto-skoda-octavia-1863470.html;26 434 $;715 000 грн;Днепр (Днепропетровск)
Skoda Karoq 2021Style 1.4 TSI AT (150 л.с.);https://auto.ria.com/newauto/auto-skoda-karoq-1856694.html;27 805 $;752 079 грн;Винница
Skoda Octavia 2020Ambition 1.5 TSI MT (150 л.с.);https://auto.ria.com/newauto/auto-skoda-octavia-1857715.html;24 213 $;654 900 грн;Днепр (Днепропетровск)
Skoda Superb 2020Style 2.0 TSI DSG (190 л.с.);https://auto.ria.com/newauto/auto-skoda-superb-1856695.html;38 335 $;1 036 876 грн;Винница
Skoda Kodiaq 2021Style 2.0 TDI AT (150 л.с.) 4x4;https://auto.ria.com/newauto/auto-skoda-kodiaq-1856971.html;40 068 $;1 083 750 грн;Винница
Skoda Karoq 2021Style 1.4 TSI AT (150 л.с.);https://auto.ria.com/newauto/auto-skoda-karoq-1847898.html;28 039 $;758 411 грн;Винница
