Model;Link;Price usd($);Price UAH;City
Subaru Forester 2021Touring 2.0i-L ES CVT Lineartronic (156 л.с.) AWD;https://auto.ria.com/newauto/auto-subaru-forester-1861052.html;38 073 $;1 029 800 грн;Киев
Subaru XV 20212.0i-L MHEV e-BOXER Lineartronic (150 л.с.) AWD;https://auto.ria.com/newauto/auto-subaru-xv-1864010.html;39 493 $;1 068 200 грн;Киев
Subaru Outback 2021Field 2.5i CVT Lineartronic (188 л.с.) AWD;https://auto.ria.com/newauto/auto-subaru-outback-1861542.html;47 323 $;1 280 000 грн;Киев
Subaru XV 2021Touring 2.0i CVT Lineartronic (156 л.с.) AWD;https://auto.ria.com/newauto/auto-subaru-xv-1858345.html;36 831 $;996 200 грн;Харьков
Subaru Forester 2021Touring 2.0i-L ES CVT Lineartronic (156 л.с.) AWD;https://auto.ria.com/newauto/auto-subaru-forester-1848647.html;38 073 $;1 029 800 грн;Харьков
Subaru Forester 2021Sport 2.5i-S ES CVT Lineartronic (184 л.с.) AWD;https://auto.ria.com/newauto/auto-subaru-forester-1858567.html;41 412 $;1 120 100 грн;Днепр (Днепропетровск)
Subaru Forester 2021Premium 2.0i-L MHEV e-BOXER Lineartronic (150 л.с.) AWD;https://auto.ria.com/newauto/auto-subaru-forester-1860417.html;44 506 $;1 203 800 грн;Харьков
Subaru Outback 2021Limited 2.5i CVT Lineartronic (188 л.с.) AWD;https://auto.ria.com/newauto/auto-subaru-outback-1861919.html;46 214 $;1 250 000 грн;Киев
Subaru Forester 2021Touring 2.0i-L ES CVT Lineartronic (156 л.с.) AWD;https://auto.ria.com/newauto/auto-subaru-forester-1860787.html;38 073 $;1 029 800 грн;Киев
Subaru XV 2021Touring 2.0i-S CVT Lineartronic (156 л.с.) AWD;https://auto.ria.com/newauto/auto-subaru-xv-1856117.html;36 831 $;996 200 грн;Киев
Subaru XV 2021Touring 2.0i-S CVT Lineartronic (156 л.с.) AWD;https://auto.ria.com/newauto/auto-subaru-xv-1861696.html;36 831 $;996 200 грн;Харьков
Subaru Outback 2021Limited 2.5i CVT Lineartronic (188 л.с.) AWD;https://auto.ria.com/newauto/auto-subaru-outback-1862750.html;46 214 $;1 250 000 грн;Киев
Subaru XV 2021Active 2.0i CVT Lineartronic (156 л.с.) AWD;https://auto.ria.com/newauto/auto-subaru-xv-1864138.html;33 256 $;899 500 грн;Херсон
Subaru Outback 2021Field 2.5i CVT Lineartronic (188 л.с.) AWD;https://auto.ria.com/newauto/auto-subaru-outback-1862975.html;47 323 $;1 280 000 грн;Днепр (Днепропетровск)
Subaru Outback 2021Limited 2.5i CVT Lineartronic (188 л.с.) AWD;https://auto.ria.com/newauto/auto-subaru-outback-1862131.html;47 323 $;1 280 000 грн;Киев
Subaru Outback 2021Limited 2.5i CVT Lineartronic (188 л.с.) AWD;https://auto.ria.com/newauto/auto-subaru-outback-1862132.html;47 323 $;1 280 000 грн;Киев
Subaru Forester 2021Sport 2.5i-S ES CVT Lineartronic (184 л.с.) AWD;https://auto.ria.com/newauto/auto-subaru-forester-1847336.html;41 412 $;1 120 100 грн;Киев
Subaru Forester 2021SK7AL2L 2.0 CVT (150 л.с.);https://auto.ria.com/newauto/auto-subaru-forester-1833162.html;31 999 $;865 500 грн;Киев
Subaru Outback 2021Limited 2.5i CVT Lineartronic (188 л.с.) AWD;https://auto.ria.com/newauto/auto-subaru-outback-1861835.html;46 214 $;1 250 000 грн;Харьков
Subaru Outback 2021Touring 2.5i CVT Lineartronic (188 л.с.) AWD;https://auto.ria.com/newauto/auto-subaru-outback-1862801.html;46 214 $;1 250 000 грн;Харьков
Subaru Forester 2021Sport 2.5i-S ES CVT Lineartronic (184 л.с.) AWD;https://auto.ria.com/newauto/auto-subaru-forester-1851813.html;41 412 $;1 120 100 грн;Харьков
Subaru XV 20212.0i-L MHEV e-BOXER Lineartronic (150 л.с.) AWD;https://auto.ria.com/newauto/auto-subaru-xv-1858289.html;39 493 $;1 068 200 грн;Днепр (Днепропетровск)
Subaru Outback 2021Limited 2.5i CVT Lineartronic (188 л.с.) AWD;https://auto.ria.com/newauto/auto-subaru-outback-1862092.html;47 323 $;1 280 000 грн;Киев
Subaru Forester 2021Premium 2.5i-S ES CVT Lineartronic (184 л.с.) AWD;https://auto.ria.com/newauto/auto-subaru-forester-1835853.html;44 092 $;1 192 600 грн;Киев
Subaru Forester 2021Touring 2.0i-L ES CVT Lineartronic (156 л.с.) AWD;https://auto.ria.com/newauto/auto-subaru-forester-1864110.html;38 073 $;1 029 800 грн;Киев
Subaru Forester 2020Sport 2.5i-S ES CVT Lineartronic (184 л.с.) AWD;https://auto.ria.com/newauto/auto-subaru-forester-1850315.html;39 744 $;1 075 000 грн;Харьков
Subaru Forester 2021Active 2.0i-L CVT Lineartronic (156 л.с.) AWD;https://auto.ria.com/newauto/auto-subaru-forester-1828715.html;31 980 $;865 000 грн;Одесса
Subaru Outback 2021Field 2.5i CVT Lineartronic (188 л.с.) AWD;https://auto.ria.com/newauto/auto-subaru-outback-1862401.html;47 323 $;1 280 000 грн;Херсон
Subaru Outback 2021Field 2.5i CVT Lineartronic (188 л.с.) AWD;https://auto.ria.com/newauto/auto-subaru-outback-1861568.html;47 323 $;1 280 000 грн;Херсон
Subaru Forester 2021Premium 2.0i-L MHEV e-BOXER Lineartronic (150 л.с.) AWD;https://auto.ria.com/newauto/auto-subaru-forester-1856237.html;44 506 $;1 203 800 грн;Киев
Subaru Outback 2021Limited 2.5i CVT Lineartronic (188 л.с.) AWD;https://auto.ria.com/newauto/auto-subaru-outback-1862631.html;46 214 $;1 250 000 грн;Киев
Subaru Outback 2021Field 2.5i CVT Lineartronic (175 л.с.) AWD;https://auto.ria.com/newauto/auto-subaru-outback-1860261.html;47 323 $;1 280 000 грн;Киев
Subaru Forester 2020Premium 2.0i-L MHEV e-BOXER Lineartronic (150 л.с.) AWD;https://auto.ria.com/newauto/auto-subaru-forester-1859868.html;42 517 $;1 150 000 грн;Киев
Subaru Forester 2021Sport 2.5i-S ES CVT Lineartronic (184 л.с.) AWD;https://auto.ria.com/newauto/auto-subaru-forester-1863107.html;41 412 $;1 120 100 грн;Херсон
Subaru XV 2020Touring 2.0i-S CVT Lineartronic (156 л.с.) AWD;https://auto.ria.com/newauto/auto-subaru-xv-1859860.html;36 280 $;981 300 грн;Киев
Subaru Outback 2021Limited 2.5i CVT Lineartronic (188 л.с.) AWD;https://auto.ria.com/newauto/auto-subaru-outback-1861897.html;46 214 $;1 250 000 грн;Харьков
Subaru XV 2020TF EyeSight 2.0i CVT Lineartronic (156 л.с.) AWD;https://auto.ria.com/newauto/auto-subaru-xv-1854046.html;32 757 $;886 000 грн;Харьков
Subaru XV 2021Premium 2.0i-S CVT Lineartronic (156 л.с.) AWD;https://auto.ria.com/newauto/auto-subaru-xv-1854417.html;38 195 $;1 033 100 грн;Харьков
Subaru Forester 2021Premium 2.0i-L MHEV e-BOXER Lineartronic (150 л.с.) AWD;https://auto.ria.com/newauto/auto-subaru-forester-1858597.html;44 506 $;1 203 800 грн;Киев
Subaru XV 2021Touring 2.0i CVT Lineartronic (156 л.с.) AWD;https://auto.ria.com/newauto/auto-subaru-xv-1863006.html;36 831 $;996 200 грн;Киев
Subaru Forester 2020Premium 2.0i-L MHEV e-BOXER Lineartronic (150 л.с.) AWD;https://auto.ria.com/newauto/auto-subaru-forester-1858598.html;42 517 $;1 150 000 грн;Киев
Subaru XV 20212.0i-L MHEV e-BOXER Lineartronic (150 л.с.) AWD;https://auto.ria.com/newauto/auto-subaru-xv-1858572.html;39 493 $;1 068 200 грн;Киев
Subaru Forester 2021Sport 2.5i-S ES CVT Lineartronic (184 л.с.) AWD;https://auto.ria.com/newauto/auto-subaru-forester-1850044.html;41 412 $;1 120 100 грн;Киев
