Model;Link;Price usd($);Price UAH;City
Toyota Land Cruiser Prado 2021Comfort+ FL 4.0 Dual VVT-i AT (282 л.с.) 4WD;https://auto.ria.com/newauto/auto-toyota-land-cruiser-prado-1858468.html;50 222 $;1 358 412 грн;Киев
Toyota Corolla 2021Active 1.8 Hybrid e-CVT (122 л.с.);https://auto.ria.com/newauto/auto-toyota-corolla-1745558.html;27 763 $;750 937 грн;Запорожье
Toyota Camry 2021Elegance+ 2.5 Hybrid e-CVT (218 л.с.);https://auto.ria.com/newauto/auto-toyota-camry-1864042.html;35 665 $;964 671 грн;Ивано-Франковск
Toyota Camry 2021Elegance+ 2.5 Hybrid e-CVT (218 л.с.);https://auto.ria.com/newauto/auto-toyota-camry-1863068.html;35 665 $;964 671 грн;Белая Церковь
Toyota Highlander 2021Elegance 2.5h e-CVT (243 л.с.) AWD;https://auto.ria.com/newauto/auto-toyota-highlander-1864433.html;49 288 $;1 333 131 грн;Херсон
Toyota C-HR 2021Active 2.0 Hybrid e-CVT (184 л.с.);https://auto.ria.com/newauto/auto-toyota-c-hr-1862485.html;33 760 $;913 140 грн;Белая Церковь
Toyota Camry 2021Comfort 2.5 D-4S АТ (207 л.с.);https://auto.ria.com/newauto/auto-toyota-camry-1777540.html;29 854 $;807 484 грн;Запорожье
Toyota Proace Verso 2021Shuttle 2.0 D-4D 6MT (150 л.с.) L2;https://auto.ria.com/newauto/auto-toyota-proace-verso-1778546.html;41 321 $;1 117 662 грн;Запорожье
Toyota Highlander 2021Premium 3.5i Dual VVT-iW AT (249 л.с.) DTC AWD-S;https://auto.ria.com/newauto/auto-toyota-highlander-1858473.html;62 146 $;1 680 922 грн;Киев
Toyota Proace City Verso 2021Shuttle 1.5 D-4D 5MT (102 л.с.) L2;https://auto.ria.com/newauto/auto-toyota-proace-city-verso-1863895.html;25 340 $;685 389 грн;Киев
Toyota Proace City Verso 2021Shuttle 1.5 D-4D 5MT (102 л.с.) L2;https://auto.ria.com/newauto/auto-toyota-proace-city-verso-1861932.html;24 599 $;665 364 грн;Белая Церковь
Toyota Camry 2021Premium 2.5 D-4S АТ (207 л.с.);https://auto.ria.com/newauto/auto-toyota-camry-1863843.html;39 475 $;1 067 733 грн;Киев
Toyota Land Cruiser Prado 2021Elegance 2.8D AT (200 л.с.) 4WD;https://auto.ria.com/newauto/auto-toyota-land-cruiser-prado-1864431.html;53 056 $;1 435 047 грн;Херсон
Toyota C-HR 2021GR Sport 2.0 Hybrid e-CVT (184 л.с.);https://auto.ria.com/newauto/auto-toyota-c-hr-1860723.html;37 363 $;1 010 595 грн;Одесса
Toyota Land Cruiser Prado 2021Comfort+ 4.0 Dual VVT-i AT (282 л.с.) 4WD;https://auto.ria.com/newauto/auto-toyota-land-cruiser-prado-1862396.html;46 089 $;1 246 623 грн;Ужгород
Toyota Highlander 2021Premium 2.5h e-CVT (243 л.с.) AWD;https://auto.ria.com/newauto/auto-toyota-highlander-1733790.html;64 500 $;1 744 592 грн;Запорожье
