Model;Link;Price usd($);Price UAH;City
Volkswagen Tiguan 2021Elegance 2.0 TSI DSG (220 л.с.) 4Motion;https://auto.ria.com/newauto/auto-volkswagen-tiguan-1859763.html;40 558 $;1 097 000 грн;Житомир
Volkswagen Touareg 2021Elegance 3.0 TDI AT (286 л.с.) AWD;https://auto.ria.com/newauto/auto-volkswagen-touareg-1843019.html;74 200 $;2 006 962 грн;Черновцы
Volkswagen Touareg 2021Ambience 3.0 TDI AT (286 л.с.) AWD;https://auto.ria.com/newauto/auto-volkswagen-touareg-1839769.html;77 085 $;2 084 995 грн;Черновцы
Volkswagen Passat 2021Elegance 2.0 TDI 7-DSG (200 л.с.);https://auto.ria.com/newauto/auto-volkswagen-passat-1863522.html;47 130 $;1 274 772 грн;Полтава
Volkswagen T-Roc 2021Sport 1.5 TSI DSG (150 л.с.);https://auto.ria.com/newauto/auto-volkswagen-t-roc-1857234.html;30 243 $;818 000 грн;Житомир
Volkswagen Golf 2021GTI GTI 2.0 TSI DSG (245 л.с.);https://auto.ria.com/newauto/auto-volkswagen-golf-1861260.html;41 500 $;1 122 492 грн;Полтава
Volkswagen Tiguan 2021Elegance 2.0 TSI DSG (220 л.с.) 4Motion;https://auto.ria.com/newauto/auto-volkswagen-tiguan-1863858.html;40 778 $;1 102 963 грн;Полтава
Volkswagen Tiguan 2021R-Line 2.0 TDI DSG (150 л.с.) 4motion;https://auto.ria.com/newauto/auto-volkswagen-tiguan-1851710.html;48 100 $;1 301 009 грн;Черновцы
Volkswagen T-Cross 2021Style 1.0 TSI DSG (115 л.с.);https://auto.ria.com/newauto/auto-volkswagen-t-cross-1859682.html;28 420 $;765 606 грн;Киев
Volkswagen Tiguan 2021R-Line 2.0 TSI DSG (220 л.с.) 4Motion;https://auto.ria.com/newauto/auto-volkswagen-tiguan-1863323.html;48 237 $;48 237 $;Херсон
Volkswagen Crafter груз. 2021HD 35 2.0 TDI MT (140 л.с.) MR;https://auto.ria.com/newauto/auto-volkswagen-crafter-gruz-1861098.html;36 232 $;980 000 грн;Житомир
Volkswagen Passat 2021Elegance 2.0 TDI 7-DSG (200 л.с.) 4x4;https://auto.ria.com/newauto/auto-volkswagen-passat-1863295.html;52 898 $;1 430 785 грн;Херсон
Volkswagen T-Cross 2021Style 1.0 TSI DSG (115 л.с.);https://auto.ria.com/newauto/auto-volkswagen-t-cross-1859844.html;26 000 $;737 880 грн;Винница
Volkswagen Touareg 2021Ambience 3.0 TDI AT (286 л.с.) AWD;https://auto.ria.com/newauto/auto-volkswagen-touareg-1856249.html;75 685 $;2 147 940 грн;Винница
Volkswagen Tiguan 2021R-Line 2.0 TSI DSG (220 л.с.) 4Motion;https://auto.ria.com/newauto/auto-volkswagen-tiguan-1858163.html;44 777 $;1 211 128 грн;Черновцы
Volkswagen Passat 2021Elegance 2.0 TSI 6-DSG (220 л.с.);https://auto.ria.com/newauto/auto-volkswagen-passat-1863299.html;44 990 $;44 990 $;Херсон
Volkswagen Touareg 2021Base 3.0 TDI AT (231 л.с.) AWD;https://auto.ria.com/newauto/auto-volkswagen-touareg-1857206.html;63 270 $;1 711 327 грн;Черновцы
Volkswagen Touareg 2021Ambience 3.0 TDI AT (286 л.с.) AWD;https://auto.ria.com/newauto/auto-volkswagen-touareg-1863531.html;74 205 $;2 105 938 грн;Винница
Volkswagen Touareg 2021R-Line 3.0 TDI AT (286 л.с.) AWD;https://auto.ria.com/newauto/auto-volkswagen-touareg-1863561.html;88 100 $;2 500 278 грн;Винница
Volkswagen Touareg 2021Touareg 3.0 TDI AT (231 л.с.) AWD;https://auto.ria.com/newauto/auto-volkswagen-touareg-1858442.html;61 305 $;1 658 178 грн;Хмельницкий
Volkswagen Tiguan 2021R-Line 2.0 TDI DSG (150 л.с.) 4motion;https://auto.ria.com/newauto/auto-volkswagen-tiguan-1860346.html;48 360 $;1 308 041 грн;Днепр (Днепропетровск)
Volkswagen Touareg 2021R-Line 3.0 TDI AT (286 л.с.) AWD;https://auto.ria.com/newauto/auto-volkswagen-touareg-1851621.html;80 757 $;2 184 315 грн;Черновцы
Volkswagen Arteon 2021R-Line 2.0 TDI DSG (200 л.с.) 4x4;https://auto.ria.com/newauto/auto-volkswagen-arteon-1864017.html;58 747 $;1 589 000 грн;Житомир
Volkswagen Golf 2021R-Line 1.4 TSI AT (150 л.с.);https://auto.ria.com/newauto/auto-volkswagen-golf-1861149.html;34 300 $;927 746 грн;Житомир
Volkswagen T-Cross 2020Life 1.0 TSI DSG (115 л.с.);https://auto.ria.com/newauto/auto-volkswagen-t-cross-1859434.html;24 517 $;663 136 грн;Житомир
Volkswagen Touareg 2021Base 3.0 TDI AT (231 л.с.) AWD;https://auto.ria.com/newauto/auto-volkswagen-touareg-1863922.html;64 270 $;1 738 375 грн;Черновцы
Volkswagen Tiguan 2021R-Line 2.0 TSI DSG (220 л.с.) 4Motion;https://auto.ria.com/newauto/auto-volkswagen-tiguan-1864292.html;44 500 $;1 203 636 грн;Хмельницкий
Volkswagen Golf 2021R-Line 1.4 TSI AT (150 л.с.);https://auto.ria.com/newauto/auto-volkswagen-golf-1861744.html;35 326 $;955 498 грн;Днепр (Днепропетровск)
Volkswagen Arteon 2021R-Line 2.0 TDI DSG (200 л.с.) 4x4;https://auto.ria.com/newauto/auto-volkswagen-arteon-1863577.html;49 990 $;1 352 130 грн;Полтава
Volkswagen Tiguan 2021R-Line 2.0 TSI DSG (220 л.с.) 4Motion;https://auto.ria.com/newauto/auto-volkswagen-tiguan-1864159.html;45 000 $;1 217 160 грн;Хмельницкий
Volkswagen Touareg 2021R-Line 3.0 TDI AT (286 л.с.) AWD;https://auto.ria.com/newauto/auto-volkswagen-touareg-1860112.html;79 200 $;2 142 202 грн;Хмельницкий
Volkswagen Arteon 2021R-Line 2.0 TDI DSG (200 л.с.) 4x4;https://auto.ria.com/newauto/auto-volkswagen-arteon-1863714.html;57 000 $;1 541 736 грн;Житомир
Volkswagen Tiguan 2021R-Line 2.0 TSI DSG (220 л.с.) 4Motion;https://auto.ria.com/newauto/auto-volkswagen-tiguan-1864103.html;44 500 $;1 203 636 грн;Хмельницкий
Volkswagen Tiguan 2021Elegance 2.0 TSI DSG (220 л.с.) 4Motion;https://auto.ria.com/newauto/auto-volkswagen-tiguan-1864078.html;40 380 $;1 092 198 грн;Хмельницкий
Volkswagen T-Roc 2021Sport 1.5 TSI DSG (150 л.с.);https://auto.ria.com/newauto/auto-volkswagen-t-roc-1862476.html;30 649 $;829 000 грн;Житомир
Volkswagen Crafter груз. 2021HD 35 2.0 TDI MT (140 л.с.) LR;https://auto.ria.com/newauto/auto-volkswagen-crafter-gruz-1863722.html;37 500 $;1 014 300 грн;Житомир
Volkswagen Crafter груз. 2021HD UH 35 2.0 TDI MT (140 л.с.) LR;https://auto.ria.com/newauto/auto-volkswagen-crafter-gruz-1864027.html;37 100 $;1 003 481 грн;Житомир
Volkswagen Arteon 2021R-Line 2.0 TDI DSG (200 л.с.) 4x4;https://auto.ria.com/newauto/auto-volkswagen-arteon-1863859.html;49 000 $;1 325 352 грн;Хмельницкий
Volkswagen Tiguan 2021R-Line 2.0 TSI DSG (220 л.с.) 4Motion;https://auto.ria.com/newauto/auto-volkswagen-tiguan-1864097.html;45 000 $;1 217 160 грн;Хмельницкий
Volkswagen Golf 2021Life 1.4 TSI AT (150 л.с.);https://auto.ria.com/newauto/auto-volkswagen-golf-1861071.html;26 700 $;722 182 грн;Хмельницкий
Volkswagen Golf 2021Life 1.4 TSI AT (150 л.с.);https://auto.ria.com/newauto/auto-volkswagen-golf-1861071.html;26 700 $;722 182 грн;Хмельницкий
Volkswagen Arteon 2021R-Line 2.0 TDI DSG (200 л.с.) 4x4;https://auto.ria.com/newauto/auto-volkswagen-arteon-1863684.html;57 677 $;57 677 $;Черновцы
Volkswagen Tiguan 2021Elegance 2.0 TSI DSG (220 л.с.) 4Motion;https://auto.ria.com/newauto/auto-volkswagen-tiguan-1856329.html;40 188 $;1 087 000 грн;Житомир
Volkswagen T-Cross 2021T-Cross 1.0 TSI DSG (115 л.с.);https://auto.ria.com/newauto/auto-volkswagen-t-cross-1854350.html;25 100 $;678 905 грн;Полтава
Volkswagen T-Roc 2021Style 1.5 TSI DSG (150 л.с.);https://auto.ria.com/newauto/auto-volkswagen-t-roc-1863433.html;28 000 $;757 344 грн;Полтава
Volkswagen Touareg 2021R-Line 3.0 TDI AT (286 л.с.) AWD;https://auto.ria.com/newauto/auto-volkswagen-touareg-1852999.html;80 757 $;2 184 315 грн;Черновцы
Volkswagen T-Roc 2021Style 1.5 TSI DSG (150 л.с.);https://auto.ria.com/newauto/auto-volkswagen-t-roc-1862320.html;28 900 $;781 687 грн;Черновцы
Volkswagen Passat 2021Highline 2.0 TSI 7-DSG (190 л.с.);https://auto.ria.com/newauto/auto-volkswagen-passat-1863797.html;38 900 $;1 052 167 грн;Хмельницкий
Volkswagen T-Cross 2021Style 1.0 TSI DSG (115 л.с.);https://auto.ria.com/newauto/auto-volkswagen-t-cross-1863435.html;26 300 $;711 362 грн;Полтава
Volkswagen Multivan 2021Bulli 2.0 TDI DSG (199 л.с.) 4x4;https://auto.ria.com/newauto/auto-volkswagen-multivan-1855845.html;80 400 $;2 174 659 грн;Черновцы
Volkswagen Touareg 2021Ambience 3.0 TDI AT (286 л.с.) AWD;https://auto.ria.com/newauto/auto-volkswagen-touareg-1861061.html;73 701 $;1 993 465 грн;Хмельницкий
Volkswagen T-Cross 2021Life 1.0 TSI DSG (115 л.с.);https://auto.ria.com/newauto/auto-volkswagen-t-cross-1861750.html;23 366 $;632 000 грн;Днепр (Днепропетровск)
