Model;Link;Price usd($);Price UAH;City
ЗАЗ А08 2021А08A1B;https://auto.ria.com/newauto/auto-zaz-a08-1778731.html;62 000 $;1 676 976 грн;Киев
ЗАЗ А08 2021А08A1B;https://auto.ria.com/newauto/auto-zaz-a08-1778732.html;62 000 $;1 676 976 грн;Киев
ЗАЗ А08 2021А08A1B;https://auto.ria.com/newauto/auto-zaz-a08-1858865.html;69 000 $;1 866 312 грн;Киев
ЗАЗ А10С3А 202144 Городской АT 160 л.с.;https://auto.ria.com/newauto/auto-zaz-a10s3a-1847899.html;109 729 $;2 967 954 грн;Киев
ЗАЗ A10 2021I-Van С30 Міський (140 л.с.);https://auto.ria.com/newauto/auto-zaz-a10-1847903.html;88 301 $;2 388 375 грн;Киев
ЗАЗ А08 2021А08A14;https://auto.ria.com/newauto/auto-zaz-a08-1832442.html;64 100 $;1 733 777 грн;Киев
ЗАЗ A07А I-VAN 2019А07А12 (130 л.с.);https://auto.ria.com/newauto/auto-zaz-a07a-i-van-1775143.html;44 329 $;1 199 000 грн;Киев
ЗАЗ А10С3А 202144 Городской АT 160 л.с.;https://auto.ria.com/newauto/auto-zaz-a10s3a-1856235.html;Цену уточняйте;price is missing;Хмельницкий
ЗАЗ А08 2021А08A14;https://auto.ria.com/newauto/auto-zaz-a08-1855813.html;Цену уточняйте;price is missing;Одесса
ЗАЗ А08 2021А08A1B;https://auto.ria.com/newauto/auto-zaz-a08-1820488.html;Цену уточняйте;price is missing;Одесса
ЗАЗ А10С3А 202144 Городской АT 160 л.с.;https://auto.ria.com/newauto/auto-zaz-a10s3a-1837494.html;Цену уточняйте;price is missing;Одесса
ЗАЗ А08 2021А08A14;https://auto.ria.com/newauto/auto-zaz-a08-1856221.html;Цену уточняйте;price is missing;Хмельницкий
ЗАЗ А08 2021А08A1B;https://auto.ria.com/newauto/auto-zaz-a08-1856060.html;Цену уточняйте;price is missing;Хмельницкий
ЗАЗ А10С3А 202144 Городской АT 160 л.с.;https://auto.ria.com/newauto/auto-zaz-a10s3a-1861791.html;Цену уточняйте;price is missing;Сумы
ЗАЗ А08 2021А08A14;https://auto.ria.com/newauto/auto-zaz-a08-1861779.html;Цену уточняйте;price is missing;Сумы
ЗАЗ А08 2021А08A14;https://auto.ria.com/newauto/auto-zaz-a08-1856775.html;Цену уточняйте;price is missing;Львов
ЗАЗ А08 2021А08A1B;https://auto.ria.com/newauto/auto-zaz-a08-1861780.html;Цену уточняйте;price is missing;Сумы
ЗАЗ А10С3А 2021Городской MT 160 л.с.;https://auto.ria.com/newauto/auto-zaz-a10s3a-1861789.html;Цену уточняйте;price is missing;Сумы
