Model;Link;Price usd($);Price UAH;City
Acura ILX 2020base 2.4 i-VTEC DCT (201 л.с.);https://auto.ria.com/newauto/auto-acura-ilx-1831328.html;44 500 $;1 203 636 грн;Винница
Citroen Jumper груз. 20212.0 BlueHDi MT (160 л.с.) 4-35-L2;https://auto.ria.com/newauto/auto-citroen-jumper-gruz-1786909.html;;1 344 300 грн;Полтава
Citroen Jumper груз. 20212.0 BlueHDi MT (160 л.с.) 4-35-L2;https://auto.ria.com/newauto/auto-citroen-jumper-gruz-1796554.html;;1 407 400 грн;Полтава
Ford Transit груз. 20202.0 TDCi MT 350 (130 л.с.) L3 FWD;https://auto.ria.com/newauto/auto-ford-transit-gruz-1841069.html;;1 168 711 грн;Винница
Fiat Fiorino груз. 2021Base 1.4 МТ (77 л.с.);https://auto.ria.com/newauto/auto-fiat-fiorino-gruz-1847980.html;;339 900 грн;Днепр (Днепропетровск)
Fiat Doblo груз. 2020New Maxi 1.3D МТ (90 л.с.);https://auto.ria.com/newauto/auto-fiat-doblo-gruz-1851784.html;;476 900 грн;Харьков
Peugeot 301 2021Allure New 1.6D MT (92 л.с.);https://auto.ria.com/newauto/auto-peugeot-301-1853791.html;;529 000 грн;Харьков
Honda CR-V 2021Executive 1.5i VTEC Turbo CVT (193 л.с.) 4WD;https://auto.ria.com/newauto/auto-honda-cr-v-1856008.html;;1 127 900 грн;Днепр (Днепропетровск)
Mitsubishi L 200 2021Ultimate New 2.4 DI-D AT (181 л.с.) 4WD;https://auto.ria.com/newauto/auto-mitsubishi-l-200-1856271.html;;1 119 000 грн;Винница
Citroen Berlingo груз. 2021base Worker 1.6 HDi MT (92 л.с.) L2;https://auto.ria.com/newauto/auto-citroen-berlingo-gruz-1856678.html;;580 280 грн;Винница
Ford Kuga 2020ST-Line 2.0 EcoBlue AT (190 л.с.) AWD;https://auto.ria.com/newauto/auto-ford-kuga-1856947.html;;1 147 320 грн;Тернополь
Peugeot 5008 2021GT 2.0 BlueHDi AT (150 л.с.);https://auto.ria.com/newauto/auto-peugeot-5008-1857635.html;;1 029 900 грн;Харьков
Mazda 6 2021Premium+ Black Edition 2.5T AТ (231 л.с.);https://auto.ria.com/newauto/auto-mazda-6-1857744.html;;1 063 800 грн;Днепр (Днепропетровск)
Kia Sportage 2021Comfort+ 1.6 GDI AT (132 л.с.);https://auto.ria.com/newauto/auto-kia-sportage-1858838.html;;620 977 грн;Мелитополь
Peugeot Rifter 2021Allure Pack 1.5 BlueHDi AT (130 л.с.) L1;https://auto.ria.com/newauto/auto-peugeot-rifter-1859233.html;;748 700 грн;Киев
Peugeot Traveller 2020Active 2.0 BlueHDi AT (180 л.с.) L3;https://auto.ria.com/newauto/auto-peugeot-traveller-1859242.html;;1 139 500 грн;Киев
Ford Puma 2020Titanium 1.0 EcoBoost AT (125 л.с.);https://auto.ria.com/newauto/auto-ford-puma-1859963.html;;690 000 грн;Тернополь
Citroen C3 Aircross 2021Shine 1.2 PureTech VTi AT (110 л.с.);https://auto.ria.com/newauto/auto-citroen-c3-aircross-1860043.html;;659 900 грн;Одесса
Mitsubishi ASX 2021Invite 1.6 MT (117 л.с.);https://auto.ria.com/newauto/auto-mitsubishi-asx-1859086.html;;579 000 грн;Киев
Fiat Doblo груз. 2020New Maxi 1.3D МТ (90 л.с.);https://auto.ria.com/newauto/auto-fiat-doblo-gruz-1860209.html;;476 900 грн;Черкассы
Kia Sportage 2021Comfort+ 1.6 GDI AT (132 л.с.);https://auto.ria.com/newauto/auto-kia-sportage-1860698.html;;620 977 грн;Луцк
