Model;Link;Price usd($);Price UAH;City
Chery Tiggo 2 2020Luxury 1.5 MT (106 л.с.);https://auto.ria.com/newauto/auto-chery-tiggo-2-1845061.html;12 500 $;338 100 грн;Киев
Chery Tiggo 2 2021Individual 1.5 MT (106 л.с.);https://auto.ria.com/newauto/auto-chery-tiggo-2-1845208.html;11 400 $;315 894 грн;Одесса
Chery Tiggo 4 2021Comfort 1.5 MT (116 л.с.);https://auto.ria.com/newauto/auto-chery-tiggo-4-1846548.html;14 400 $;389 491 грн;Киев
Chery Tiggo 4 2021Comfort 1.5 MT (116 л.с.);https://auto.ria.com/newauto/auto-chery-tiggo-4-1852667.html;14 400 $;389 491 грн;Киев
Chery Tiggo 4 2021Comfort 1.5 MT (116 л.с.);https://auto.ria.com/newauto/auto-chery-tiggo-4-1862573.html;14 400 $;389 491 грн;Киев
Chery Tiggo 2 2020Luxury 1.5 MT (106 л.с.);https://auto.ria.com/newauto/auto-chery-tiggo-2-1861850.html;12 500 $;344 125 грн;Киев
Chery Tiggo 4 2021Comfort 1.5 MT (116 л.с.);https://auto.ria.com/newauto/auto-chery-tiggo-4-1861828.html;14 400 $;396 432 грн;Киев
Chery Tiggo 4 2021Comfort 1.5 CVT (116 л.с.);https://auto.ria.com/newauto/auto-chery-tiggo-4-1858246.html;16 000 $;443 360 грн;Одесса
Chery Tiggo 7 2021Classic 1.5 МТ (152 к.с.);https://auto.ria.com/newauto/auto-chery-tiggo-7-1861574.html;16 100 $;449 190 грн;Львов
Chery Tiggo 4 2021Comfort 1.5 MT (116 л.с.);https://auto.ria.com/newauto/auto-chery-tiggo-4-1860376.html;14 400 $;389 491 грн;Хмельницкий
Chery Tiggo 7 Pro 2021Premium 1.5 TCI CVT (147 л.с.);https://auto.ria.com/newauto/auto-chery-tiggo-7-pro-1861316.html;21 900 $;606 849 грн;Одесса
Chery Tiggo 7 2021Classic 1.5 МТ (152 к.с.);https://auto.ria.com/newauto/auto-chery-tiggo-7-1830658.html;16 100 $;446 131 грн;Одесса
Chery Tiggo 4 2021Comfort 1.5 CVT (116 л.с.);https://auto.ria.com/newauto/auto-chery-tiggo-4-1858475.html;16 000 $;443 360 грн;Одесса
Chery Tiggo 7 2020Luxury 1.5 6DCT (152 к.с.);https://auto.ria.com/newauto/auto-chery-tiggo-7-1857239.html;18 800 $;520 948 грн;Одесса
Chery Tiggo 4 2021Comfort 1.5 CVT (116 л.с.);https://auto.ria.com/newauto/auto-chery-tiggo-4-1864320.html;16 000 $;432 768 грн;Киев
Chery Tiggo 4 2021Comfort 1.5 MT (116 л.с.);https://auto.ria.com/newauto/auto-chery-tiggo-4-1864321.html;14 256 $;385 596 грн;Киев
Chery Tiggo 4 2021Comfort 1.5 MT (116 л.с.);https://auto.ria.com/newauto/auto-chery-tiggo-4-1857830.html;14 400 $;401 760 грн;Львов
Chery Tiggo 7 Pro 2021Luxury 1.5 TCI CVT (147 л.с.);https://auto.ria.com/newauto/auto-chery-tiggo-7-pro-1859560.html;20 400 $;551 779 грн;Киев
Chery TIggo 8 2020Luxury 1.5T MT (147 л.с.) 7s;https://auto.ria.com/newauto/auto-chery-tiggo-8-1863025.html;20 500 $;554 484 грн;Хмельницкий
Chery TIggo 8 2021Premium 2.0T CVT (170 л.с.);https://auto.ria.com/newauto/auto-chery-tiggo-8-1835632.html;24 000 $;649 152 грн;Хмельницкий
Chery TIggo 8 2020Luxury 1.5T AT (147 л.с.) 7s;https://auto.ria.com/newauto/auto-chery-tiggo-8-1859805.html;21 780 $;589 105 грн;Киев
Chery TIggo 8 2020Luxury 1.5T AT (147 л.с.) 7s;https://auto.ria.com/newauto/auto-chery-tiggo-8-1858151.html;22 000 $;595 056 грн;Киев
Chery Tiggo 7 2021Classic 1.5 МТ (152 к.с.);https://auto.ria.com/newauto/auto-chery-tiggo-7-1720441.html;16 100 $;435 473 грн;Киев
Chery Tiggo 4 2021Comfort 1.5 MT (116 л.с.);https://auto.ria.com/newauto/auto-chery-tiggo-4-1862365.html;14 518 $;392 680 грн;Львов
Chery Tiggo 7 Pro 2021Luxury 1.5 TCI CVT (147 л.с.);https://auto.ria.com/newauto/auto-chery-tiggo-7-pro-1859648.html;20 400 $;565 284 грн;Одесса
Chery Tiggo 4 2021Comfort 1.5 MT (116 л.с.);https://auto.ria.com/newauto/auto-chery-tiggo-4-1861817.html;14 256 $;385 596 грн;Киев
Chery Tiggo 7 2020Luxury 1.5 6DCT (152 к.с.);https://auto.ria.com/newauto/auto-chery-tiggo-7-1859890.html;18 800 $;520 948 грн;Одесса
Chery Tiggo 7 2020Luxury 1.5 6DCT (152 к.с.);https://auto.ria.com/newauto/auto-chery-tiggo-7-1859855.html;18 800 $;520 948 грн;Одесса
Chery Tiggo 7 2020Luxury 1.5 6DCT (152 к.с.);https://auto.ria.com/newauto/auto-chery-tiggo-7-1859891.html;18 800 $;520 948 грн;Одесса
Chery TIggo 8 2020Luxury 1.5T AT (147 л.с.) 7s;https://auto.ria.com/newauto/auto-chery-tiggo-8-1843308.html;22 000 $;595 056 грн;Хмельницкий
Chery Tiggo 7 2020Classic 1.5 МТ (152 к.с.);https://auto.ria.com/newauto/auto-chery-tiggo-7-1862972.html;15 600 $;421 949 грн;Киев
Chery Tiggo 7 Pro 2021Luxury 1.5 TCI CVT (147 л.с.);https://auto.ria.com/newauto/auto-chery-tiggo-7-pro-1862369.html;20 542 $;555 616 грн;Львов
Chery TIggo 8 2021Premium 2.0T CVT (170 л.с.);https://auto.ria.com/newauto/auto-chery-tiggo-8-1864140.html;24 170 $;653 760 грн;Житомир
Chery TIggo 8 2021Premium 2.0T CVT (170 л.с.);https://auto.ria.com/newauto/auto-chery-tiggo-8-1841437.html;24 000 $;665 040 грн;Одесса
Chery Tiggo 7 Pro 2021Premium 1.5 TCI CVT (147 л.с.);https://auto.ria.com/newauto/auto-chery-tiggo-7-pro-1859907.html;22 200 $;600 466 грн;Киев
Chery TIggo 8 2020Luxury 1.5T AT (147 л.с.) 7s;https://auto.ria.com/newauto/auto-chery-tiggo-8-1844930.html;22 000 $;595 056 грн;Хмельницкий
Chery TIggo 8 2020Premium 2.0T CVT (170 л.с.);https://auto.ria.com/newauto/auto-chery-tiggo-8-1811475.html;23 500 $;635 628 грн;Киев
Chery TIggo 8 2020Luxury 1.5T AT (147 л.с.) 7s;https://auto.ria.com/newauto/auto-chery-tiggo-8-1839618.html;21 780 $;589 105 грн;Киев
Chery Tiggo 2 2021Classic 1.5 MT (106 л.с.);https://auto.ria.com/newauto/auto-chery-tiggo-2-1862040.html;11 400 $;308 347 грн;Хмельницкий
Chery TIggo 8 2021Premium 2.0T CVT (170 л.с.);https://auto.ria.com/newauto/auto-chery-tiggo-8-1862277.html;24 161 $;653 500 грн;Львов
