Model;Link;Price usd($);Price UAH;City
Hyundai i30 2021Classic 1.5 DPi AT (110 л.с.);https://auto.ria.com/newauto/auto-hyundai-i30-1862069.html;18 227 $;493 000 грн;Винница
Hyundai Tucson 2021Top Panorama 2.0 MPi AT (156 л.с.) 4WD;https://auto.ria.com/newauto/auto-hyundai-tucson-1864468.html;37 341 $;1 010 000 грн;Киев
Hyundai Tucson 2021Dynamic 2.0 MPi AT (156 л.с.);https://auto.ria.com/newauto/auto-hyundai-tucson-1862757.html;29 100 $;787 100 грн;Винница
Hyundai Elantra 2021Style 1.6 MPi AT (127 л.с.);https://auto.ria.com/newauto/auto-hyundai-elantra-1863003.html;26 117 $;706 400 грн;Винница
Hyundai Kona 2021Dynamic 1.6 Turbo-GDi DCT (177 л.с.);https://auto.ria.com/newauto/auto-hyundai-kona-1858025.html;25 202 $;713 200 грн;Киев
Hyundai Elantra 2021Style 1.6 MPi AT (127 л.с.);https://auto.ria.com/newauto/auto-hyundai-elantra-1852850.html;24 962 $;706 400 грн;Киев
Hyundai Santa FE 2021Top 2.2 CRDi 8DCT (202 л.с.) AWD;https://auto.ria.com/newauto/auto-hyundai-santa-fe-1852879.html;52 156 $;1 476 000 грн;Киев
Hyundai i30 2021Style 1.5 DPi AT (110 л.с.);https://auto.ria.com/newauto/auto-hyundai-i30-1863682.html;21 702 $;587 000 грн;Киев
Hyundai i30 2021Classic 1.5 DPi MT (110 л.с.);https://auto.ria.com/newauto/auto-hyundai-i30-1856865.html;18 027 $;487 600 грн;Запорожье
Hyundai i30 2021Classic 1.5 DPi MT (110 л.с.);https://auto.ria.com/newauto/auto-hyundai-i30-1864385.html;17 743 $;479 900 грн;Черкассы
Hyundai Tucson 2021Top 1.6 T-GDi HEV AT (230 л.с.) 4WD;https://auto.ria.com/newauto/auto-hyundai-tucson-1864381.html;45 885 $;1 241 100 грн;Черкассы
Hyundai Santa FE 2021Elegance 2.2 CRDi Smartstream 8DCT (202 л.с.) AWD;https://auto.ria.com/newauto/auto-hyundai-santa-fe-1861150.html;50 850 $;1 375 400 грн;Херсон
Hyundai Tucson 2021Elegance 1.6 T-GDi HEV AT (230 л.с.) 4WD;https://auto.ria.com/newauto/auto-hyundai-tucson-1864401.html;41 737 $;1 128 900 грн;Харьков
Hyundai Kona 2021N-Line Elegance 1.6 Turbo-GDi DCT (198 л.с.);https://auto.ria.com/newauto/auto-hyundai-kona-1864409.html;28 035 $;758 300 грн;Херсон
Hyundai Tucson 2021Top Panorama 1.6 CRDi 7DCT (136 л.с.) 4WD;https://auto.ria.com/newauto/auto-hyundai-tucson-1856743.html;40 539 $;1 096 500 грн;Харьков
Hyundai Santa FE 2021Elegance 2.2 CRDi Smartstream 8DCT (202 л.с.) AWD;https://auto.ria.com/newauto/auto-hyundai-santa-fe-1864356.html;50 850 $;1 375 400 грн;Тернополь
Hyundai Elantra 2020Style 1.6 MPi AT (127 л.с.);https://auto.ria.com/newauto/auto-hyundai-elantra-1856062.html;25 203 $;681 700 грн;Киев
Hyundai H1 пасс. 2021Business   2.5 CRDi МТ (136 л.с.) (8s);https://auto.ria.com/newauto/auto-hyundai-h1-pass-1864368.html;38 694 $;1 046 600 грн;Тернополь
Hyundai Tucson 2021Top Panorama 1.6 T-GDi HEV AT (230 л.с.) 4WD;https://auto.ria.com/newauto/auto-hyundai-tucson-1860782.html;46 824 $;1 266 500 грн;Херсон
Hyundai Tucson 2021Top 2.0 MPi AT (156 л.с.) 4WD;https://auto.ria.com/newauto/auto-hyundai-tucson-1862208.html;36 879 $;997 500 грн;Херсон
Hyundai H1 пасс. 2020Business   2.5 CRDi МТ (136 л.с.) (8s);https://auto.ria.com/newauto/auto-hyundai-h1-pass-1864367.html;37 360 $;1 010 500 грн;Тернополь
Hyundai Santa FE 2021Dynamic 2.2 CRDi 8DCT (202 л.с.) AWD;https://auto.ria.com/newauto/auto-hyundai-santa-fe-1856370.html;45 512 $;1 231 000 грн;Кропивницкий (Кировоград)
Hyundai Tucson 2021Elegance 1.6 T-GDi HEV AT (230 л.с.) 4WD;https://auto.ria.com/newauto/auto-hyundai-tucson-1864174.html;41 737 $;1 128 900 грн;Харьков
Hyundai Venue 2021Elegance 1.6 MPi AT (123 л.с.);https://auto.ria.com/newauto/auto-hyundai-venue-1863351.html;23 366 $;632 000 грн;Киев
Hyundai Kona 2021Elegance 1.6 Turbo-GDi DCT (198 л.с.);https://auto.ria.com/newauto/auto-hyundai-kona-1860087.html;28 035 $;758 300 грн;Чернигов
Hyundai Santa FE 2021Elegance 2.2 CRDi Smartstream 8DCT (202 л.с.) AWD;https://auto.ria.com/newauto/auto-hyundai-santa-fe-1864096.html;50 850 $;1 375 400 грн;Тернополь
Hyundai Tucson 2021Top 2.0 MPi AT (156 л.с.) 4WD;https://auto.ria.com/newauto/auto-hyundai-tucson-1863420.html;36 879 $;997 500 грн;Запорожье
Hyundai i10 2021Style 1.2 MPi АMT (84 л.с.);https://auto.ria.com/newauto/auto-hyundai-i10-1856887.html;17 077 $;461 900 грн;Одесса
Hyundai Tucson 2021Top Panorama 2.0 MPi AT (156 л.с.) 4WD;https://auto.ria.com/newauto/auto-hyundai-tucson-1864173.html;37 818 $;1 022 900 грн;Харьков
Hyundai Palisade 2020Executive 2.2 VGT CRDi AT (200 л.с.) 4WD;https://auto.ria.com/newauto/auto-hyundai-palisade-1853425.html;56 012 $;1 515 000 грн;Киев
Hyundai i10 2021Style 1.2 MPi АMT (84 л.с.);https://auto.ria.com/newauto/auto-hyundai-i10-1858583.html;17 077 $;461 900 грн;Киев
Hyundai Kona 2021N-Line Elegance 1.6 Turbo-GDi DCT (198 л.с.);https://auto.ria.com/newauto/auto-hyundai-kona-1862920.html;29 540 $;799 000 грн;Винница
Hyundai i30 2020Comfort 1.5 DPi AT (110 л.с.);https://auto.ria.com/newauto/auto-hyundai-i30-1852558.html;19 624 $;530 800 грн;Одесса
Hyundai Elantra 2021Style 1.6 MPi AT (127 л.с.);https://auto.ria.com/newauto/auto-hyundai-elantra-1864256.html;26 117 $;706 400 грн;Тернополь
Hyundai H1 пасс. 2020Business   2.5 CRDi МТ (136 л.с.) (8s);https://auto.ria.com/newauto/auto-hyundai-h1-pass-1854714.html;37 360 $;1 010 500 грн;Харьков
Hyundai Palisade 2021Premium 3.8 GDI AT (295 л.с.) 4WD;https://auto.ria.com/newauto/auto-hyundai-palisade-1861896.html;60 348 $;1 632 300 грн;Винница
Hyundai Kona 2021Dynamic 1.6 Turbo-GDi DCT (198 л.с.);https://auto.ria.com/newauto/auto-hyundai-kona-1862075.html;26 952 $;729 000 грн;Винница
Hyundai i30 2021Style 1.5 DPi AT (110 л.с.);https://auto.ria.com/newauto/auto-hyundai-i30-1864040.html;22 135 $;598 700 грн;Тернополь
Hyundai Santa FE 2021Top SE 2.2 CRDi Smartstream 8DCT (202 л.с.) AWD;https://auto.ria.com/newauto/auto-hyundai-santa-fe-1862761.html;57 616 $;1 558 400 грн;Винница
Hyundai i10 2021Comfort 1.2 MPi АMT (84 л.с.);https://auto.ria.com/newauto/auto-hyundai-i10-1861899.html;15 602 $;422 000 грн;Винница
Hyundai Venue 2020Elegance 1.6 MPi AT (123 л.с.);https://auto.ria.com/newauto/auto-hyundai-venue-1854052.html;23 366 $;632 000 грн;Винница
Hyundai Kona 2021Elegance 1.6 Turbo-GDi DCT (198 л.с.);https://auto.ria.com/newauto/auto-hyundai-kona-1858529.html;28 035 $;758 300 грн;Винница
Hyundai i30 2021Classic 1.5 DPi AT (110 л.с.);https://auto.ria.com/newauto/auto-hyundai-i30-1864247.html;18 807 $;508 700 грн;Тернополь
Hyundai i30 2021Classic 1.5 DPi AT (110 л.с.);https://auto.ria.com/newauto/auto-hyundai-i30-1864246.html;18 807 $;508 700 грн;Тернополь
Hyundai Kona 2020Premium Electric 64 kWh 2-tone;https://auto.ria.com/newauto/auto-hyundai-kona-1860596.html;49 379 $;1 335 600 грн;Винница
Hyundai Tucson 2021Dynamic 2.0 MPi AT (156 л.с.);https://auto.ria.com/newauto/auto-hyundai-tucson-1862812.html;29 100 $;787 100 грн;Ивано-Франковск
Hyundai Santa FE 2020Top 2.2 CRDi 8DCT (202 л.с.) AWD;https://auto.ria.com/newauto/auto-hyundai-santa-fe-1854061.html;54 906 $;1 485 100 грн;Винница
Hyundai i30 2021Style 1.5 DPi AT (110 л.с.);https://auto.ria.com/newauto/auto-hyundai-i30-1864243.html;22 135 $;598 700 грн;Тернополь
Hyundai EX8 20193.9 MT (170 л.с.);https://auto.ria.com/newauto/auto-hyundai-ex8-1834544.html;42 700 $;1 154 950 грн;Винница
Hyundai H1 пасс. 2020Business   2.5 CRDi МТ (136 л.с.) (8s);https://auto.ria.com/newauto/auto-hyundai-h1-pass-1858421.html;37 360 $;1 010 500 грн;Черкассы
Hyundai H1 пасс. 2021Business   2.5 CRDi МТ (136 л.с.) (8s);https://auto.ria.com/newauto/auto-hyundai-h1-pass-1860293.html;38 694 $;1 046 600 грн;Кропивницкий (Кировоград)
Hyundai Kona 2021N-Line Elegance 1.6 Turbo-GDi DCT (198 л.с.);https://auto.ria.com/newauto/auto-hyundai-kona-1857774.html;29 540 $;799 000 грн;Киев
Hyundai Santa FE 2021Top Panorama 2.2 CRDi Smartstream 8DCT (202 л.с.) AWD;https://auto.ria.com/newauto/auto-hyundai-santa-fe-1862145.html;57 501 $;1 555 300 грн;Ивано-Франковск
Hyundai Tucson 2021Dynamic 2.0 MPi AT (156 л.с.);https://auto.ria.com/newauto/auto-hyundai-tucson-1857034.html;29 100 $;787 100 грн;Киев
Hyundai Tucson 2021Dynamic 2.0 MPi AT (156 л.с.);https://auto.ria.com/newauto/auto-hyundai-tucson-1857036.html;29 100 $;787 100 грн;Киев
Hyundai Tucson 2021Elegance Teal 2.0 MPi AT (156 л.с.) 4WD;https://auto.ria.com/newauto/auto-hyundai-tucson-1857540.html;33 814 $;914 600 грн;Ивано-Франковск
Hyundai Santa FE 2021Elegance 2.2 CRDi 8DCT (202 л.с.) AWD;https://auto.ria.com/newauto/auto-hyundai-santa-fe-1858251.html;50 850 $;1 375 400 грн;Ивано-Франковск
Hyundai Tucson 2021Express 2.0 MPi AT (156 л.с.);https://auto.ria.com/newauto/auto-hyundai-tucson-1863687.html;27 244 $;736 900 грн;Харьков
Hyundai Tucson 2021Elegance 2.0 MPi AT (156 л.с.) 4WD;https://auto.ria.com/newauto/auto-hyundai-tucson-1858395.html;33 655 $;910 300 грн;Тернополь
Hyundai Kona 2020Elegance 1.6 Turbo-GDi DCT (177 л.с.);https://auto.ria.com/newauto/auto-hyundai-kona-1863356.html;27 399 $;741 100 грн;Ивано-Франковск
Hyundai Venue 2021Dynamic 1.6 MPi AT (123 л.с.);https://auto.ria.com/newauto/auto-hyundai-venue-1864287.html;22 168 $;599 600 грн;Днепр (Днепропетровск)
Hyundai Santa FE 2020Elegance 2.2 CRDi AT (200 л.с.) AWD;https://auto.ria.com/newauto/auto-hyundai-santa-fe-1844275.html;46 869 $;1 267 700 грн;Ровно
Hyundai Tucson 2021Elegance 2.0 MPi AT (156 л.с.) 4WD;https://auto.ria.com/newauto/auto-hyundai-tucson-1861855.html;33 655 $;910 300 грн;Харьков
Hyundai i30 2021Style 1.5 DPi AT (110 л.с.);https://auto.ria.com/newauto/auto-hyundai-i30-1863337.html;22 135 $;598 700 грн;Ивано-Франковск
Hyundai Tucson 2021Dynamic 2.0 MPi AT (156 л.с.);https://auto.ria.com/newauto/auto-hyundai-tucson-1863418.html;29 100 $;787 100 грн;Запорожье
Hyundai Elantra 2021Active 1.6 MPi MT (127 л.с.);https://auto.ria.com/newauto/auto-hyundai-elantra-1863308.html;19 994 $;540 800 грн;Ивано-Франковск
Hyundai Tucson 2021Express 2.0 MPi AT (156 л.с.);https://auto.ria.com/newauto/auto-hyundai-tucson-1863062.html;27 244 $;736 900 грн;Киев
Hyundai i30 2021Style 1.5 DPi AT (110 л.с.);https://auto.ria.com/newauto/auto-hyundai-i30-1863020.html;22 638 $;612 300 грн;Харьков
Hyundai Santa FE 2021Top SE 2.2 CRDi Smartstream 8DCT (202 л.с.) AWD;https://auto.ria.com/newauto/auto-hyundai-santa-fe-1863143.html;57 616 $;1 558 400 грн;Киев
Hyundai Tucson 2021Dynamic 2.0 MPi AT (156 л.с.);https://auto.ria.com/newauto/auto-hyundai-tucson-1857038.html;29 100 $;787 100 грн;Киев
Hyundai Kona 2020Premium Electric 64 kWh 2-tone;https://auto.ria.com/newauto/auto-hyundai-kona-1850782.html;43 833 $;1 185 600 грн;Киев
Hyundai Tucson 2021Dynamic 1.6 CRDi 7DCT (136 л.с.);https://auto.ria.com/newauto/auto-hyundai-tucson-1857551.html;32 834 $;888 100 грн;Ивано-Франковск
Hyundai Tucson 2021Top 2.0 MPi AT (156 л.с.) 4WD;https://auto.ria.com/newauto/auto-hyundai-tucson-1862138.html;36 879 $;997 500 грн;Чернигов
