Model;Link;Price usd($);Price UAH;City
Jaguar XF 2021R-Dynamic S 2.0i АT (250 л.с.);https://auto.ria.com/newauto/auto-jaguar-xf-1864418.html;66 014 $;1 785 549 грн;Киев
Jaguar F-Pace 2021S P250 2.0i AT (250 л.с.) AWD;https://auto.ria.com/newauto/auto-jaguar-f-pace-1864434.html;74 479 $;2 090 743 грн;Днепр (Днепропетровск)
Jaguar E-Pace 2021S 2.0 AT (200 л.с.) AWD;https://auto.ria.com/newauto/auto-jaguar-e-pace-1864324.html;57 784 $;1 562 953 грн;Киев
Jaguar F-Pace 2021Base SVR 5.0i AT (550 л.с.) AWD;https://auto.ria.com/newauto/auto-jaguar-f-pace-1864033.html;130 097 $;3 518 872 грн;Харьков
Jaguar XF 2020Portfolio 2.0 AT (250 л.с.);https://auto.ria.com/newauto/auto-jaguar-xf-1859685.html;73 761 $;1 995 089 грн;Киев
Jaguar I-Pace 2020S EV400 90kWh AWD;https://auto.ria.com/newauto/auto-jaguar-i-pace-1854864.html;73 785 $;1 995 726 грн;Киев
Jaguar I-Pace 2019S EV400 90kWh AWD;https://auto.ria.com/newauto/auto-jaguar-i-pace-1857493.html;70 523 $;1 907 515 грн;Одесса
Jaguar I-Pace 2020HSE EV400 90kWh AWD;https://auto.ria.com/newauto/auto-jaguar-i-pace-1863184.html;90 856 $;2 457 479 грн;Харьков
Jaguar XE 2021R-Dynamic S 2.0i AT (250 л.с.) RWD;https://auto.ria.com/newauto/auto-jaguar-xe-1862480.html;54 382 $;1 470 921 грн;Киев
Jaguar XF 2021R-Sport 2.0 AT (250 л.с.);https://auto.ria.com/newauto/auto-jaguar-xf-1860721.html;66 014 $;1 785 549 грн;Одесса
Jaguar F-Type 2021R-Dynamic P450 5.0i Supercharged AT (450 л.с.);https://auto.ria.com/newauto/auto-jaguar-f-type-1860634.html;142 463 $;3 853 340 грн;Одесса
Jaguar E-Pace 2021S 2.0D AT (180 л.с.) AWD;https://auto.ria.com/newauto/auto-jaguar-e-pace-1857458.html;56 584 $;1 530 471 грн;Харьков
Jaguar F-Pace 2021Prestige D200 2.0d AT (204 л.с.) AWD;https://auto.ria.com/newauto/auto-jaguar-f-pace-1857765.html;76 434 $;2 067 377 грн;Харьков
Jaguar F-Pace 2021Prestige D200 2.0d AT (204 л.с.) AWD;https://auto.ria.com/newauto/auto-jaguar-f-pace-1857957.html;76 434 $;2 067 377 грн;Харьков
Jaguar I-Pace 2020HSE EV400 90kWh AWD;https://auto.ria.com/newauto/auto-jaguar-i-pace-1853943.html;93 823 $;2 537 728 грн;Одесса
Jaguar I-Pace 2020HSE EV400 90kWh AWD;https://auto.ria.com/newauto/auto-jaguar-i-pace-1854239.html;95 259 $;2 576 579 грн;Одесса
Jaguar E-Pace 2021S 2.0D AT (180 л.с.) AWD;https://auto.ria.com/newauto/auto-jaguar-e-pace-1858031.html;56 584 $;1 530 471 грн;Харьков
Jaguar I-Pace 2021S EV400 90kWh AWD;https://auto.ria.com/newauto/auto-jaguar-i-pace-1863186.html;80 001 $;2 163 868 грн;Одесса
Jaguar I-Pace 2019SE EV400 90kWh AWD;https://auto.ria.com/newauto/auto-jaguar-i-pace-1862085.html;73 223 $;2 015 053 грн;Чубинское
Jaguar XE 2020R-Dynamic HSE 2.0i AT (250 л.с.) RWD;https://auto.ria.com/newauto/auto-jaguar-xe-1860432.html;59 974 $;1 650 456 грн;Чубинское
Jaguar F-Pace 2021R-Dynamic S D200 2.0d AT (204 л.с.) AWD;https://auto.ria.com/newauto/auto-jaguar-f-pace-1858514.html;79 047 $;2 175 336 грн;Чубинское
Jaguar I-Pace 2021S EV400 90kWh AWD;https://auto.ria.com/newauto/auto-jaguar-i-pace-1863856.html;78 883 $;2 170 800 грн;Чубинское
