Model;Link;Price usd($);Price UAH;City
Kia Sportage 2021Classic+ 1.6 GDI MT (132 л.с.);https://auto.ria.com/newauto/auto-kia-sportage-1844934.html;19 426 $;525 442 грн;Винница
Kia Stonic 2020Business 1.4i AT (100 л.с.);https://auto.ria.com/newauto/auto-kia-stonic-1864460.html;18 720 $;506 335 грн;Хмельницкий
Kia Sportage 2021Classic+ 1.6 GDI MT (132 л.с.);https://auto.ria.com/newauto/auto-kia-sportage-1860536.html;19 426 $;525 442 грн;Винница
Kia Sportage 2021Comfort+ 1.6 GDI MT (132 л.с.);https://auto.ria.com/newauto/auto-kia-sportage-1860050.html;21 781 $;589 132 грн;Белая Церковь
Kia Sportage 2021Limited Edition 1.6 GDI AT (132 л.с.);https://auto.ria.com/newauto/auto-kia-sportage-1858435.html;26 196 $;730 856 грн;Львов
Kia Sportage 2021Comfort 1.6 GDI AT (132 л.с.);https://auto.ria.com/newauto/auto-kia-sportage-1831330.html;22 841 $;617 793 грн;Киев
Kia Rio X 2021Classic 1.4 MT (100 л.с.);https://auto.ria.com/newauto/auto-kia-rio-x-1862079.html;16 567 $;459 048 грн;Одесса
Kia Sportage 2021Classic+ 1.6 GDI MT (132 л.с.);https://auto.ria.com/newauto/auto-kia-sportage-1864386.html;19 426 $;525 442 грн;Хмельницкий
Kia Sportage 2021Comfort 1.6 GDI AT (132 л.с.);https://auto.ria.com/newauto/auto-kia-sportage-1857734.html;22 841 $;617 793 грн;Белая Церковь
Kia Sportage 2021Classic+ 1.6 GDI MT (132 л.с.);https://auto.ria.com/newauto/auto-kia-sportage-1857188.html;19 426 $;525 442 грн;Белая Церковь
Kia Sportage 2021Comfort 1.6 CRDi MT (115 л.с.);https://auto.ria.com/newauto/auto-kia-sportage-1831392.html;24 136 $;652 822 грн;Киев
Kia Stonic 2020Prestige 1.4i AT (100 л.с.);https://auto.ria.com/newauto/auto-kia-stonic-1834041.html;19 897 $;538 180 грн;Винница
Kia Stonic 2020Business 1.4i AT (100 л.с.);https://auto.ria.com/newauto/auto-kia-stonic-1863083.html;19 194 $;535 512 грн;Львов
Kia Sportage 2021Comfort+ 1.6 GDI AT (132 л.с.);https://auto.ria.com/newauto/auto-kia-sportage-1840782.html;22 958 $;620 977 грн;Винница
Kia XCeed 2020Business 1.4 G T-GDI 7DCT (140 л.с.);https://auto.ria.com/newauto/auto-kia-xceed-1841296.html;23 398 $;648 368 грн;Одесса
Kia Rio 2021Business 1.6 MPi MT (123 л.с.);https://auto.ria.com/newauto/auto-kia-rio-1857236.html;16 601 $;460 000 грн;Одесса
Kia Rio 2020Business 1.4 АT (100 л.с.);https://auto.ria.com/newauto/auto-kia-rio-1856673.html;17 987 $;501 832 грн;Львов
Kia Sportage 2021Limited Edition 1.6 GDI AT (132 л.с.);https://auto.ria.com/newauto/auto-kia-sportage-1863464.html;25 721 $;695 702 грн;Житомир
Kia Sportage 2021Comfort 1.6 GDI AT (132 л.с.);https://auto.ria.com/newauto/auto-kia-sportage-1861681.html;23 419 $;653 392 грн;Львов
Kia Ceed 2021Comfort 1.6 MPi MT (128 л.с.);https://auto.ria.com/newauto/auto-kia-ceed-1861956.html;17 778 $;480 859 грн;Винница
Kia Sportage 2021Classic 1.6 GDI AT (132 л.с.);https://auto.ria.com/newauto/auto-kia-sportage-1861163.html;20 281 $;548 562 грн;Киев
Kia Sportage 2021Comfort+ 1.6 GDI MT (132 л.с.);https://auto.ria.com/newauto/auto-kia-sportage-1832626.html;21 781 $;589 132 грн;Днепр (Днепропетровск)
Kia Ceed 2021Business 1.6 MPi MT (128 л.с.);https://auto.ria.com/newauto/auto-kia-ceed-1827649.html;20 891 $;578 900 грн;Одесса
Kia Stonic 2020Business 1.4i AT (100 л.с.);https://auto.ria.com/newauto/auto-kia-stonic-1862278.html;18 981 $;525 972 грн;Одесса
Kia Rio 2021Comfort 1.4 MPi AT (100 л.с.);https://auto.ria.com/newauto/auto-kia-rio-1857602.html;16 428 $;455 216 грн;Одесса
Kia Sportage 2021Comfort+ 1.6 GDI MT (132 л.с.);https://auto.ria.com/newauto/auto-kia-sportage-1861936.html;21 928 $;593 110 грн;Житомир
Kia Stonic 2020Business 1.4i AT (100 л.с.);https://auto.ria.com/newauto/auto-kia-stonic-1853684.html;18 846 $;509 754 грн;Житомир
Kia Stonic 2021Prestige 1.4i AT (100 л.с.);https://auto.ria.com/newauto/auto-kia-stonic-1843041.html;21 250 $;588 824 грн;Одесса
Kia Sportage 2021Comfort 1.6 GDI MT (132 л.с.);https://auto.ria.com/newauto/auto-kia-sportage-1841617.html;21 663 $;585 948 грн;Львов
Kia XCeed 2020Business 1.4 G T-GDI 7DCT (140 л.с.);https://auto.ria.com/newauto/auto-kia-xceed-1841445.html;23 076 $;624 162 грн;Винница
Kia Rio 2021Prestige 1.6 MPi AT (123 л.с.);https://auto.ria.com/newauto/auto-kia-rio-1857496.html;18 163 $;506 736 грн;Львов
Kia Ceed 2021Business 1.6 MPi AT (128 л.с.);https://auto.ria.com/newauto/auto-kia-ceed-1861664.html;22 333 $;623 080 грн;Львов
Kia Stonic 2021Prestige 1.4i AT (100 л.с.);https://auto.ria.com/newauto/auto-kia-stonic-1864141.html;20 747 $;561 173 грн;Киев
Kia XCeed 2020Prestige (Leather Pack) 1.4 G T-GDI 7DCT (140 л.с.);https://auto.ria.com/newauto/auto-kia-xceed-1841420.html;29 725 $;823 692 грн;Одесса
Kia Sportage 2021Classic+ 1.6 GDI MT (132 л.с.);https://auto.ria.com/newauto/auto-kia-sportage-1862173.html;19 698 $;545 820 грн;Одесса
Kia XCeed 2020Business 1.4 G T-GDI 7DCT (140 л.с.);https://auto.ria.com/newauto/auto-kia-xceed-1843526.html;23 076 $;624 162 грн;Киев
Kia Sportage 2021Comfort 1.6 GDI AT (132 л.с.);https://auto.ria.com/newauto/auto-kia-sportage-1861658.html;22 612 $;611 615 грн;Киев
Kia XCeed 2020Prestige (Leather Pack) 1.4 G T-GDI 7DCT (140 л.с.);https://auto.ria.com/newauto/auto-kia-xceed-1842688.html;30 058 $;838 632 грн;Львов
