Model;Link;Price usd($);Price UAH;City
Lifan LF150-2E 2020Street;https://auto.ria.com/newauto/auto-lifan-lf150-2e-1854922.html;1 130 $;30 564 грн;Черкассы
Lifan LF250-B 2021Сhopper;https://auto.ria.com/newauto/auto-lifan-lf250-b-1864037.html;3 040 $;82 226 грн;Киев
Lifan SR 2021200;https://auto.ria.com/newauto/auto-lifan-sr-1859152.html;1 510 $;40 842 грн;Киев
Lifan LF250-B 2021Сhopper;https://auto.ria.com/newauto/auto-lifan-lf250-b-1859809.html;2 995 $;81 009 грн;Днепр (Днепропетровск)
Lifan BTR 2020200;https://auto.ria.com/newauto/auto-lifan-btr-1854923.html;1 115 $;30 159 грн;Черкассы
Lifan CityR 2020200;https://auto.ria.com/newauto/auto-lifan-cityr-1851093.html;1 185 $;32 052 грн;Днепр (Днепропетровск)
Lifan KP 2021350;https://auto.ria.com/newauto/auto-lifan-kp-1859155.html;3 850 $;104 135 грн;Киев
Lifan KPT 2020LF200-10L;https://auto.ria.com/newauto/auto-lifan-kpt-1854924.html;2 140 $;57 883 грн;Черкассы
Lifan KPT 2021LF200-10L;https://auto.ria.com/newauto/auto-lifan-kpt-1859481.html;2 100 $;56 801 грн;Краматорск
Lifan KP200 (Irokez) 2021Street;https://auto.ria.com/newauto/auto-lifan-kp200-irokez-1849246.html;1 645 $;44 494 грн;Днепр (Днепропетровск)
Lifan CityR 2021200;https://auto.ria.com/newauto/auto-lifan-cityr-1859534.html;1 185 $;32 052 грн;Краматорск
Lifan KP 2020350;https://auto.ria.com/newauto/auto-lifan-kp-1848364.html;3 800 $;102 782 грн;Днепр (Днепропетровск)
Lifan KPR 2021200-10S;https://auto.ria.com/newauto/auto-lifan-kpr-1849247.html;1 695 $;45 846 грн;Днепр (Днепропетровск)
Lifan KPM 2021200;https://auto.ria.com/newauto/auto-lifan-kpm-1854926.html;1 920 $;51 932 грн;Черкассы
Lifan LF150-2E 2021Street;https://auto.ria.com/newauto/auto-lifan-lf150-2e-1859508.html;1 100 $;29 753 грн;Краматорск
Lifan K19 2021200;https://auto.ria.com/newauto/auto-lifan-k19-1859184.html;2 200 $;59 506 грн;Киев
Lifan KP200 (Irokez) 2020Street;https://auto.ria.com/newauto/auto-lifan-kp200-irokez-1854925.html;1 660 $;44 900 грн;Черкассы
Lifan BTR 2020200;https://auto.ria.com/newauto/auto-lifan-btr-1861472.html;1 115 $;30 159 грн;Киев
Lifan K19 2021200;https://auto.ria.com/newauto/auto-lifan-k19-1859484.html;2 200 $;59 506 грн;Краматорск
Lifan LF150-5U (KP Mini) 2020Street;https://auto.ria.com/newauto/auto-lifan-lf150-5u-kp-mini-1861473.html;1 405 $;38 002 грн;Киев
Lifan LF150-5U (KP Mini) 2020Street;https://auto.ria.com/newauto/auto-lifan-lf150-5u-kp-mini-1859183.html;1 405 $;38 002 грн;Киев
Lifan KP 2021250;https://auto.ria.com/newauto/auto-lifan-kp-1863584.html;2 530 $;68 431 грн;Львов
Lifan JR 2021200;https://auto.ria.com/newauto/auto-lifan-jr-1859535.html;1 285 $;34 757 грн;Краматорск
Lifan KPT 2020LF200-10L;https://auto.ria.com/newauto/auto-lifan-kpt-1836365.html;2 090 $;56 530 грн;Харьков
Lifan KP 2020200;https://auto.ria.com/newauto/auto-lifan-kp-1836362.html;1 630 $;44 088 грн;Харьков
