Model;Link;Price usd($);Price UAH;City
Opel Combo Life 2021Edition 1.6D MT (92 л.с.) L1;https://auto.ria.com/newauto/auto-opel-combo-life-1864452.html;20 005 $;541 100 грн;Хмельницкий
Opel Vivaro груз. 2021Essentia Crew Cab 2.0 BlueHDi MT (150 л.с.) L2;https://auto.ria.com/newauto/auto-opel-vivaro-gruz-1860107.html;39 522 $;1 069 000 грн;Полтава
Opel Mokka 2021Elegance 1.2 PureTech AT (130 л.с.);https://auto.ria.com/newauto/auto-opel-mokka-1864456.html;24 807 $;670 980 грн;Запорожье
Opel Combo Cargo 2021Essentia 1.6 HDi MT (92 л.с.) L2 (950);https://auto.ria.com/newauto/auto-opel-combo-cargo-1838853.html;20 667 $;20 667 $;Полтава
Opel Mokka 2021Elegance 1.2 PureTech MT (100 л.с.);https://auto.ria.com/newauto/auto-opel-mokka-1861979.html;21 037 $;569 000 грн;Полтава
Opel Insignia 2019Innovation Grand Sport 2.0D AT (170 л.с.) Start/Stop;https://auto.ria.com/newauto/auto-opel-insignia-1784534.html;34 380 $;929 900 грн;Хмельницкий
Opel Mokka 2021Elegance 1.2 PureTech MT (100 л.с.);https://auto.ria.com/newauto/auto-opel-mokka-1862019.html;21 665 $;586 000 грн;Черкассы
Opel Mokka 2021Elegance 1.2 PureTech MT (100 л.с.);https://auto.ria.com/newauto/auto-opel-mokka-1864439.html;21 868 $;591 480 грн;Запорожье
Opel Astra J 2020Enjoy 1.4Т МТ (140 л.с.);https://auto.ria.com/newauto/auto-opel-astra-j-1810322.html;17 569 $;475 200 грн;Хмельницкий
Opel Corsa 2021Elegance 1.2 PureTech AT (101 л.с.);https://auto.ria.com/newauto/auto-opel-corsa-1860758.html;20 038 $;542 000 грн;Полтава
Opel Grandland X 2020Innovation 1.5D 8AT (130 л.с.) Start/Stop;https://auto.ria.com/newauto/auto-opel-grandland-x-1850672.html;29 318 $;793 000 грн;Черкассы
Opel Zafira Life 2021Enjoy 2.0 BlueHDi AT (180 л.с.) L2;https://auto.ria.com/newauto/auto-opel-zafira-life-1860105.html;43 441 $;1 175 000 грн;Полтава
Opel Combo Life 2020Enjoy 1.5 BlueHDi AT (130 л.с.) L2 S/S;https://auto.ria.com/newauto/auto-opel-combo-life-1845139.html;26 703 $;722 250 грн;Одесса
Opel Corsa 2021Elegance Direct Injection Turbo 1.2 AT (100 л.с.);https://auto.ria.com/newauto/auto-opel-corsa-1864031.html;20 244 $;547 550 грн;Одесса
Opel Crossland X 2021Enjoy 1.2 MT (82 л.с.);https://auto.ria.com/newauto/auto-opel-crossland-x-1860403.html;18 741 $;18 741 $;Полтава
Opel Grandland X 2021Enjoy 1.5D 6MT (130 л.с.) Start/Stop;https://auto.ria.com/newauto/auto-opel-grandland-x-1829606.html;24 808 $;671 000 грн;Полтава
Opel Grandland X 2021Innovation 1.5D 8AT (130 л.с.) Start/Stop;https://auto.ria.com/newauto/auto-opel-grandland-x-1844501.html;29 586 $;800 230 грн;Хмельницкий
Opel Zafira Life 2021Business Innovation 2.0 BlueHDi AT (180 л.с.) L2;https://auto.ria.com/newauto/auto-opel-zafira-life-1863744.html;56 386 $;56 386 $;Одесса
Opel Combo Cargo 2021Essentia 1.6 HDi MT (92 л.с.) L2 (950);https://auto.ria.com/newauto/auto-opel-combo-cargo-1863729.html;20 704 $;20 704 $;Одесса
Opel Grandland X 2021Innovation 1.5D 8AT (130 л.с.) Start/Stop;https://auto.ria.com/newauto/auto-opel-grandland-x-1862168.html;29 414 $;795 580 грн;Хмельницкий
Opel Mokka 2021Elegance 1.2 PureTech AT (130 л.с.);https://auto.ria.com/newauto/auto-opel-mokka-1863403.html;25 092 $;678 680 грн;Хмельницкий
Opel Astra K 2018Individual 1.4 AT (150 л.с.) Start/Stop;https://auto.ria.com/newauto/auto-opel-astra-k-1735029.html;20 331 $;20 331 $;Хмельницкий
Opel Mokka 2021Elegance 1.2 PureTech AT (130 л.с.);https://auto.ria.com/newauto/auto-opel-mokka-1863117.html;24 593 $;665 200 грн;Хмельницкий
Opel Corsa 2021Elegance Direct Injection Turbo 1.2 AT (100 л.с.);https://auto.ria.com/newauto/auto-opel-corsa-1862003.html;19 787 $;535 200 грн;Хмельницкий
Opel Corsa 2021Elegance 1.2 PureTech AT (101 л.с.);https://auto.ria.com/newauto/auto-opel-corsa-1855834.html;20 852 $;564 000 грн;Черкассы
Opel Mokka 2021Elegance 1.2 PureTech MT (100 л.с.);https://auto.ria.com/newauto/auto-opel-mokka-1862867.html;21 011 $;568 300 грн;Хмельницкий
Opel Grandland X 2021Innovation 1.5D 8AT (130 л.с.) Start/Stop;https://auto.ria.com/newauto/auto-opel-grandland-x-1843932.html;29 586 $;800 230 грн;Хмельницкий
Opel Mokka 2021Base 1.2 PureTech MT (130 л.с.);https://auto.ria.com/newauto/auto-opel-mokka-1862129.html;21 381 $;578 300 грн;Хмельницкий
Opel Combo Cargo 2021Essentia 1.6 HDi MT (92 л.с.) L2 (950);https://auto.ria.com/newauto/auto-opel-combo-cargo-1862352.html;20 704 $;560 000 грн;Черкассы
Opel Crossland X 2021Enjoy 1.2 MT (82 л.с.);https://auto.ria.com/newauto/auto-opel-crossland-x-1857980.html;17 743 $;17 743 $;Хмельницкий
Opel Crossland 2021Elegance Direct Injection Turbo 1.2 AT (110 л.с.);https://auto.ria.com/newauto/auto-opel-crossland-1863260.html;23 678 $;640 450 грн;Хмельницкий
Opel Zafira Life 2021Business Innovation 2.0 BlueHDi AT (180 л.с.) L1;https://auto.ria.com/newauto/auto-opel-zafira-life-1863934.html;54 293 $;1 468 530 грн;Херсон
Opel Grandland X 2021Enjoy 1.5D 8AT (130 л.с.) Start/Stop;https://auto.ria.com/newauto/auto-opel-grandland-x-1841392.html;27 002 $;730 360 грн;Хмельницкий
Opel Astra J 2020Enjoy 1.4Т АТ (140 л.с.);https://auto.ria.com/newauto/auto-opel-astra-j-1860560.html;19 630 $;19 630 $;Хмельницкий
Opel Crossland 2021Edition Direct Injection 1.2 MT (82 л.с.);https://auto.ria.com/newauto/auto-opel-crossland-1863925.html;18 840 $;509 580 грн;Херсон
