Model;Link;Price usd($);Price UAH;City
Alfa Romeo Stelvio 2018Super 2.0i MultiAir AT (280 л.с.) AWD;https://auto.ria.com/newauto/auto-alfa-romeo-stelvio-1863489.html;42 255 $;1 142 900 грн;Киев
Alfa Romeo Giulietta 2020Super 1.4i MultiAir DDCT (170 л.с.);https://auto.ria.com/newauto/auto-alfa-romeo-giulietta-1860472.html;25 268 $;699 900 грн;Харьков
Alfa Romeo Giulia 2021Veloce 2.0i AT (200 л.с.);https://auto.ria.com/newauto/auto-alfa-romeo-giulia-1863835.html;38 003 $;1 027 900 грн;Киев
Alfa Romeo Giulietta 20201.4i MultiAir DDCT (170 л.с.);https://auto.ria.com/newauto/auto-alfa-romeo-giulietta-1863475.html;25 396 $;686 900 грн;Киев
Alfa Romeo Stelvio 2021Veloce 2.0i MultiAir AT (280 л.с.) AWD;https://auto.ria.com/newauto/auto-alfa-romeo-stelvio-1863487.html;53 124 $;53 124 $;Киев
Alfa Romeo Giulietta 2020Super 1.4i MultiAir DDCT (170 л.с.);https://auto.ria.com/newauto/auto-alfa-romeo-giulietta-1860609.html;25 026 $;676 900 грн;Днепр (Днепропетровск)
Alfa Romeo Giulietta 2019Super 1.4i MultiAir DDCT (170 л.с.);https://auto.ria.com/newauto/auto-alfa-romeo-giulietta-1856163.html;23 617 $;638 800 грн;Днепр (Днепропетровск)
Alfa Romeo Giulia 2020Super 2.0i AT (200 л.с.);https://auto.ria.com/newauto/auto-alfa-romeo-giulia-1857828.html;42 953 $;1 161 800 грн;Одесса
Alfa Romeo Giulietta 2019Super 1.4i MultiAir DDCT (170 л.с.);https://auto.ria.com/newauto/auto-alfa-romeo-giulietta-1863478.html;23 140 $;625 900 грн;Киев
Alfa Romeo Giulietta 2020Super 1.4i MultiAir DDCT (170 л.с.);https://auto.ria.com/newauto/auto-alfa-romeo-giulietta-1863476.html;24 841 $;671 900 грн;Киев
Alfa Romeo Giulia 2020Super 2.0i AT (200 л.с.);https://auto.ria.com/newauto/auto-alfa-romeo-giulia-1858064.html;40 730 $;1 128 200 грн;Харьков
Alfa Romeo Giulia 2021Veloce 2.0i MultiAir AT (280 л.с.) AWD;https://auto.ria.com/newauto/auto-alfa-romeo-giulia-1863482.html;54 501 $;1 474 140 грн;Киев
Alfa Romeo Giulia 2021Super 2.0i AT (200 л.с.);https://auto.ria.com/newauto/auto-alfa-romeo-giulia-1858539.html;43 222 $;1 169 059 грн;Днепр (Днепропетровск)
Alfa Romeo Stelvio 2020Super 2.0i MultiAir AT (200 л.с.) AWD;https://auto.ria.com/newauto/auto-alfa-romeo-stelvio-1849590.html;46 954 $;1 270 000 грн;Днепр (Днепропетровск)
Alfa Romeo Stelvio 2020Super 2.0i MultiAir AT (200 л.с.) AWD;https://auto.ria.com/newauto/auto-alfa-romeo-stelvio-1863488.html;49 427 $;1 336 900 грн;Киев
Alfa Romeo Giulia 2018Super 2.0i AT (200 л.с.);https://auto.ria.com/newauto/auto-alfa-romeo-giulia-1863486.html;34 897 $;943 900 грн;Киев
