Model;Link;Price usd($);Price UAH;City
SEAT Ateca 2020Style 1.5 TSI DSG (150 л.с.);https://auto.ria.com/newauto/auto-seat-ateca-1845342.html;27 802 $;752 000 грн;Днепр (Днепропетровск)
SEAT Ateca 2021Style Plus 1.5 TSI DSG (150 л.с.);https://auto.ria.com/newauto/auto-seat-ateca-1855421.html;29 141 $;788 198 грн;Одесса
SEAT Ibiza 2021Style 1.0 TSI AT (115 л.с.);https://auto.ria.com/newauto/auto-seat-ibiza-1864298.html;18 616 $;503 538 грн;Днепр (Днепропетровск)
SEAT Ibiza 2021Individual 1.0 TSI AT (115 л.с.);https://auto.ria.com/newauto/auto-seat-ibiza-1835399.html;18 634 $;504 000 грн;Харьков
SEAT Ateca 2021Style 2.0 TDI DSG (150 л.с.) 4Drive;https://auto.ria.com/newauto/auto-seat-ateca-1863467.html;36 584 $;989 523 грн;Одесса
SEAT Ibiza 2021Style 1.6 MPI MT (110 л.с.);https://auto.ria.com/newauto/auto-seat-ibiza-1860461.html;18 022 $;18 022 $;Одесса
SEAT Ateca 2020Style 1.5 TSI DSG (150 л.с.);https://auto.ria.com/newauto/auto-seat-ateca-1860642.html;27 507 $;744 000 грн;Одесса
SEAT Arona 2021FR 1.0 EcoTSI DSG (115 л.с.);https://auto.ria.com/newauto/auto-seat-arona-1859168.html;24 968 $;675 347 грн;Одесса
SEAT Arona 2021Xcellence 1.0 EcoTSI DSG (115 л.с.);https://auto.ria.com/newauto/auto-seat-arona-1862259.html;24 475 $;662 000 грн;Харьков
SEAT Ateca 2021FR 2.0 TDI DSG (150 л.с.) 4Drive;https://auto.ria.com/newauto/auto-seat-ateca-1862520.html;41 778 $;1 130 000 грн;Харьков
SEAT Ateca 2021Style 2.0 TDI DSG (150 л.с.) 4Drive;https://auto.ria.com/newauto/auto-seat-ateca-1864003.html;34 753 $;940 000 грн;Харьков
SEAT Arona 2020FR 1.0 EcoTSI DSG (115 л.с.);https://auto.ria.com/newauto/auto-seat-arona-1861628.html;22 642 $;612 425 грн;Днепр (Днепропетровск)
SEAT Tarraco 2021FR 2.0 TDI CR DSG (200 л.с.) AWD;https://auto.ria.com/newauto/auto-seat-tarraco-1863798.html;48 802 $;1 320 000 грн;Харьков
SEAT Arona 2021FR 1.0 EcoTSI DSG (115 л.с.);https://auto.ria.com/newauto/auto-seat-arona-1858154.html;23 662 $;640 000 грн;Харьков
SEAT Ateca 2020Style 2.0 TDI DSG (150 л.с.);https://auto.ria.com/newauto/auto-seat-ateca-1862339.html;31 074 $;840 482 грн;Днепр (Днепропетровск)
SEAT Arona 2021Xcellence 1.0 EcoTSI DSG (115 л.с.);https://auto.ria.com/newauto/auto-seat-arona-1860874.html;23 957 $;648 000 грн;Харьков
SEAT Tarraco 2021FR 2.0 TDI CR DSG (200 л.с.) AWD;https://auto.ria.com/newauto/auto-seat-tarraco-1861656.html;42 947 $;1 161 618 грн;Днепр (Днепропетровск)
SEAT Tarraco 2021Xcellence 2.0 TDI CR DSG (200 л.с.) AWD;https://auto.ria.com/newauto/auto-seat-tarraco-1861655.html;42 054 $;1 137 483 грн;Днепр (Днепропетровск)
SEAT Tarraco 2021Style 2.0 TDI CR DSG (200 л.с.) AWD;https://auto.ria.com/newauto/auto-seat-tarraco-1861654.html;39 086 $;1 057 189 грн;Днепр (Днепропетровск)
SEAT Arona 2020Xcellence 1.0 EcoTSI DSG (115 л.с.);https://auto.ria.com/newauto/auto-seat-arona-1848116.html;22 083 $;597 307 грн;Днепр (Днепропетровск)
SEAT Ateca 2021Style Plus 1.5 TSI DSG (150 л.с.);https://auto.ria.com/newauto/auto-seat-ateca-1858018.html;27 758 $;750 810 грн;Софиевская Борщаговка
SEAT Ibiza 2020Style 1.6 MPI MT (110 л.с.);https://auto.ria.com/newauto/auto-seat-ibiza-1846410.html;17 294 $;467 756 грн;Днепр (Днепропетровск)
SEAT Ateca 2020FR 2.0 TDI DSG (150 л.с.) 4Drive;https://auto.ria.com/newauto/auto-seat-ateca-1858874.html;35 479 $;959 640 грн;Днепр (Днепропетровск)
SEAT Ateca 2020Style 2.0 TDI MT (150 л.с.);https://auto.ria.com/newauto/auto-seat-ateca-1858876.html;28 905 $;781 835 грн;Днепр (Днепропетровск)
SEAT Ateca 2020Style 2.0 TDI DSG (150 л.с.) 4Drive;https://auto.ria.com/newauto/auto-seat-ateca-1858880.html;34 544 $;934 354 грн;Днепр (Днепропетровск)
