Model;Link;Price usd($);Price UAH;City
Suzuki SX4 2021GL 1.6 MT (117 л.с.);https://auto.ria.com/newauto/auto-suzuki-sx4-1851036.html;18 297 $;494 900 грн;Хмельницкий
Suzuki SX4 2021GL 1.6 MT (117 л.с.);https://auto.ria.com/newauto/auto-suzuki-sx4-1857110.html;18 297 $;494 900 грн;Ивано-Франковск
Suzuki SX4 2021GLX 1.4 АT (140 л.с.) 4WD;https://auto.ria.com/newauto/auto-suzuki-sx4-1858298.html;25 026 $;676 900 грн;Киев
Suzuki Vitara 2021GL 1.6 AT (117 л.с.);https://auto.ria.com/newauto/auto-suzuki-vitara-1862086.html;19 221 $;519 900 грн;Ивано-Франковск
Suzuki Jimny 2021GL 1.5 MT (102 л.с.);https://auto.ria.com/newauto/auto-suzuki-jimny-1862674.html;22 212 $;600 800 грн;Хмельницкий
Suzuki Vitara 2021GL 1.6 MT (117 л.с.);https://auto.ria.com/newauto/auto-suzuki-vitara-1863596.html;17 632 $;476 900 грн;Днепр (Днепропетровск)
Suzuki SX4 2020GLX 1.6 АT (117 л.с.);https://auto.ria.com/newauto/auto-suzuki-sx4-1864382.html;21 813 $;590 000 грн;Днепр (Днепропетровск)
Suzuki Vitara 2021GL+ 1.6 AT (117 л.с.);https://auto.ria.com/newauto/auto-suzuki-vitara-1856260.html;21 883 $;591 900 грн;Харьков
Suzuki Vitara 2021GL+ 1.6 AT (117 л.с.);https://auto.ria.com/newauto/auto-suzuki-vitara-1863594.html;21 440 $;579 900 грн;Днепр (Днепропетровск)
Suzuki Ignis 2021GLX 1.2i Dualjet CVT (83 л.с.) Hybrid;https://auto.ria.com/newauto/auto-suzuki-ignis-1858869.html;19 591 $;529 900 грн;Днепр (Днепропетровск)
Suzuki Vitara 2021GL+ 1.6 AT (117 л.с.) 4WD;https://auto.ria.com/newauto/auto-suzuki-vitara-1859792.html;23 029 $;622 900 грн;Харьков
Suzuki Vitara 2021GL+ 1.6 MT (117 л.с.) 4WD;https://auto.ria.com/newauto/auto-suzuki-vitara-1857327.html;21 957 $;593 900 грн;Харьков
Suzuki Vitara 2021GL 1.6 AT (117 л.с.);https://auto.ria.com/newauto/auto-suzuki-vitara-1861494.html;19 221 $;519 900 грн;Днепр (Днепропетровск)
Suzuki SX4 2021GL 1.6 АT (117 л.с.);https://auto.ria.com/newauto/auto-suzuki-sx4-1861161.html;19 702 $;532 900 грн;Днепр (Днепропетровск)
Suzuki Vitara 2021GL+ 1.6 MT (117 л.с.) 4WD;https://auto.ria.com/newauto/auto-suzuki-vitara-1857517.html;21 074 $;570 000 грн;Хмельницкий
Suzuki Jimny 2020GLX 1.5 AT (102 л.с.);https://auto.ria.com/newauto/auto-suzuki-jimny-1858404.html;26 952 $;729 000 грн;Ивано-Франковск
