Model;Link;Price usd($);Price UAH;City
Volvo V60 2021R-Design B4 2.0 8AT (197 к.с./14 к.с.) FWD;https://auto.ria.com/newauto/auto-volvo-v60-1864004.html;50 603 $;1 368 698 грн;Киев
Volvo XC40 2021Momentum Pro T3 1.5 8AT (163 л.с.);https://auto.ria.com/newauto/auto-volvo-xc40-1859470.html;42 867 $;1 159 476 грн;Киев
Volvo XC90 2021KERS Momentum Pro T5 2.0 AT (250 л.с.) AWD;https://auto.ria.com/newauto/auto-volvo-xc90-1859477.html;65 520 $;1 772 174 грн;Киев
Volvo XC40 2020R-Design T5 2.0 AT (262 л.с.);https://auto.ria.com/newauto/auto-volvo-xc40-1846086.html;62 038 $;1 678 009 грн;Днепр (Днепропетровск)
Volvo S90 2020Inscription T5 2.0 АТ (250 л.с.);https://auto.ria.com/newauto/auto-volvo-s90-1859740.html;63 518 $;1 718 038 грн;Киев
Volvo XC60 2021KERS R-Design B5 Hybrid 2.0 АT (250 л.с.) AWD;https://auto.ria.com/newauto/auto-volvo-xc60-1863154.html;70 912 $;1 918 024 грн;Полтава
Volvo XC40 2020Momentum Pro D3 2.0 AT (150 л.с.) AWD;https://auto.ria.com/newauto/auto-volvo-xc40-1858000.html;51 280 $;1 387 009 грн;Полтава
Volvo XC90 2021KERS R-Design B5 Hybrid 2.0 8AT (250 л.с.) AWD;https://auto.ria.com/newauto/auto-volvo-xc90-1864099.html;76 398 $;2 066 422 грн;Одесса
Volvo XC60 2020R-Design T6 2.0 АT (320 л.с.) Hybrid;https://auto.ria.com/newauto/auto-volvo-xc60-1859235.html;66 520 $;1 799 242 грн;Одесса
Volvo XC90 2021Momentum B5 2.0 8AT (249 л.с.) AWD;https://auto.ria.com/newauto/auto-volvo-xc90-1855017.html;59 915 $;1 620 592 грн;Полтава
Volvo S90 2020Inscription T5 2.0 АТ (250 л.с.);https://auto.ria.com/newauto/auto-volvo-s90-1858136.html;59 681 $;1 614 255 грн;Киев
Volvo XC60 2020Kers Momentum Pro D4 2.0 8АT (190 л.с.) AWD;https://auto.ria.com/newauto/auto-volvo-xc60-1857134.html;61 422 $;1 661 354 грн;Киев
Volvo XC90 2020Momentum B5 2.0 8AT (249 л.с.) AWD;https://auto.ria.com/newauto/auto-volvo-xc90-1847797.html;62 341 $;1 686 193 грн;Киев
Volvo V60 2020Pro Cross Country T5 2.0 АT (250 л.с.) АWD;https://auto.ria.com/newauto/auto-volvo-v60-1857217.html;56 760 $;1 535 247 грн;Полтава
Volvo XC90 2020KERS Momentum T5 2.0 AT (250 л.с.) AWD;https://auto.ria.com/newauto/auto-volvo-xc90-1843718.html;62 341 $;1 686 193 грн;Харьков
Volvo XC60 2020KERS Inscription B4 2.0D 8АT (197 л.с.) AWD;https://auto.ria.com/newauto/auto-volvo-xc60-1848487.html;66 414 $;1 796 376 грн;Днепр (Днепропетровск)
Volvo XC60 2021KERS R-Design B5 Hybrid 2.0 АT (250 л.с.) AWD;https://auto.ria.com/newauto/auto-volvo-xc60-1832944.html;70 912 $;1 918 024 грн;Днепр (Днепропетровск)
Volvo XC60 2020KERS Momentum Pro B4 2.0D 8АT (197 л.с.) AWD;https://auto.ria.com/newauto/auto-volvo-xc60-1817871.html;61 246 $;1 656 577 грн;Днепр (Днепропетровск)
Volvo S90 2020Inscription D5 2.0D АТ (235 л.с.) AWD;https://auto.ria.com/newauto/auto-volvo-s90-1862577.html;66 834 $;1 807 713 грн;Херсон
Volvo V60 2021R-Design B4 2.0 8AT (197 к.с./14 к.с.) FWD;https://auto.ria.com/newauto/auto-volvo-v60-1864312.html;50 603 $;1 368 698 грн;Киев
Volvo XC40 2021Momentum T3 1.5 8AT (163 л.с.);https://auto.ria.com/newauto/auto-volvo-xc40-1860528.html;42 867 $;1 159 476 грн;Одесса
Volvo XC60 2022Momentum B4 2.0D 8АT (190 л.с.);https://auto.ria.com/newauto/auto-volvo-xc60-1864016.html;55 171 $;1 492 257 грн;Херсон
