Name;Lifespan;Price;Popularity;Temperament;Hypoallergenic;Intelligence
Labrador Retriever;10-12 years;$800 - $1500;"#1
rank";"Cheerful
Gentle
Friendly
Intelligent
...";NO;"7
rank"
French Bulldog;10-12 years;$2000 - $4000;"#2
rank";"Playful
Sociable
Lively
Patient
...";NO;"58
rank"
German Shepherd;10-13 years;$800 - $2000;"#3
rank";"Courageous
Intelligent
Loyal
Watchful
...";NO;"3
rank"
Golden Retriever;10-12 years;$1000 - $2000;"#4
rank";"Intelligent
Kind
Friendly
Confident
...";NO;"4
rank"
Bulldog;8-10 years;$2000 - $4000;"#5
rank";"Friendly
Docile
Willful
Gregarious
...";NO;"77
rank"
Poodle;12-15 years;$1200 - $2500;"#6
rank";"Intelligent
Faithful
Trainable
Instinctual
...";YES;"2
rank"
Beagle;12-15 years;$800 - $1500;"#7
rank";"Gentle
Intelligent
Even Tempered
Determined
...";NO;"72
rank"
Rottweiler;8-11 years;$1200 - $2000;"#8
rank";"Intelligent
Courageous
Fearless
Confident
...";NO;"9
rank"
German Shorthaired Pointer;12-14 years;$800 - $1500;"#9
rank";"Intelligent
Trainable
Boisterous
Cooperative
...";NO;"17
rank"
Dachshund;12-15 years;$800 - $1500;"#10
rank";"Clever
Courageous
Devoted
Lively
...";NO;"49
rank"
Pembroke Welsh Corgi;Purebred years;$1000 - $2000;"#11
rank";"Intelligent
Playful
Outgoing
Friendly
...";NO;"11
rank"
Australian Shepherd;12-15 years;$1000 - $2000;"#12
rank";"Active
Intelligent
Good-natured
Protective
...";NO;"42
rank"
Yorkshire Terrier;12-16 years;$1500 - $3000;"#13
rank";"Independent
Intelligent
Courageous
Confident
...";YES;"27
rank"
Boxer;10-12 years;$1000 - $2000;"#14
rank";"Playful
Friendly
Devoted
Loyal
...";NO;"48
rank"
Great Dane;7-10 years;$1000 - $2000;"#15
rank";"Gentle
Friendly
Devoted
Reserved
...";NO;"48
rank"
Siberian Husky;12-14 years;$600 - $1300;"#16
rank";"Gentle
Intelligent
Outgoing
Friendly
...";NO;"45
rank"
Cavalier King Charles Spaniel;10-14 years;$1500 - $2500;"#17
rank";"Playful
Sociable
Patient
Fearless
...";NO;"44
rank"
Doberman Pinscher;10-12 years;$1200 - $2500;"#18
rank";"Intelligent
Obedient
Loyal
Energetic
...";NO;"5
rank"
Miniature Schnauzer;12-14 years;$1200 - $2500;"#19
rank";"Intelligent
Friendly
Obedient
Fearless
...";YES;"12
rank"
Shih Tzu;10-16 years;$1000 - $1800;"#20
rank";"Happy
Playful
Gentle
Friendly
...";YES;"70
rank"
Labrador Retriever;10-12 years;$800 - $1500;"#1
rank";"Cheerful
Gentle
Friendly
Intelligent
...";NO;"7
rank"
French Bulldog;10-12 years;$2000 - $4000;"#2
rank";"Playful
Sociable
Lively
Patient
...";NO;"58
rank"
German Shepherd;10-13 years;$800 - $2000;"#3
rank";"Courageous
Intelligent
Loyal
Watchful
...";NO;"3
rank"
Golden Retriever;10-12 years;$1000 - $2000;"#4
rank";"Intelligent
Kind
Friendly
Confident
...";NO;"4
rank"
Bulldog;8-10 years;$2000 - $4000;"#5
rank";"Friendly
Docile
Willful
Gregarious
...";NO;"77
rank"
Poodle;12-15 years;$1200 - $2500;"#6
rank";"Intelligent
Faithful
Trainable
Instinctual
...";YES;"2
rank"
Beagle;12-15 years;$800 - $1500;"#7
rank";"Gentle
Intelligent
Even Tempered
Determined
...";NO;"72
rank"
Rottweiler;8-11 years;$1200 - $2000;"#8
rank";"Intelligent
Courageous
Fearless
Confident
...";NO;"9
rank"
German Shorthaired Pointer;12-14 years;$800 - $1500;"#9
rank";"Intelligent
Trainable
Boisterous
Cooperative
...";NO;"17
rank"
Dachshund;12-15 years;$800 - $1500;"#10
rank";"Clever
Courageous
Devoted
Lively
...";NO;"49
rank"
Pembroke Welsh Corgi;Purebred years;$1000 - $2000;"#11
rank";"Intelligent
Playful
Outgoing
Friendly
...";NO;"11
rank"
Australian Shepherd;12-15 years;$1000 - $2000;"#12
rank";"Active
Intelligent
Good-natured
Protective
...";NO;"42
rank"
Yorkshire Terrier;12-16 years;$1500 - $3000;"#13
rank";"Independent
Intelligent
Courageous
Confident
...";YES;"27
rank"
Boxer;10-12 years;$1000 - $2000;"#14
rank";"Playful
Friendly
Devoted
Loyal
...";NO;"48
rank"
Great Dane;7-10 years;$1000 - $2000;"#15
rank";"Gentle
Friendly
Devoted
Reserved
...";NO;"48
rank"
Siberian Husky;12-14 years;$600 - $1300;"#16
rank";"Gentle
Intelligent
Outgoing
Friendly
...";NO;"45
rank"
Cavalier King Charles Spaniel;10-14 years;$1500 - $2500;"#17
rank";"Playful
Sociable
Patient
Fearless
...";NO;"44
rank"
Doberman Pinscher;10-12 years;$1200 - $2500;"#18
rank";"Intelligent
Obedient
Loyal
Energetic
...";NO;"5
rank"
Miniature Schnauzer;12-14 years;$1200 - $2500;"#19
rank";"Intelligent
Friendly
Obedient
Fearless
...";YES;"12
rank"
Shih Tzu;10-16 years;$1000 - $1800;"#20
rank";"Happy
Playful
Gentle
Friendly
...";YES;"70
rank"
Labrador Retriever;10-12 years;$800 - $1500;"#1
rank";"Cheerful
Gentle
Friendly
Intelligent
...";NO;"7
rank"
French Bulldog;10-12 years;$2000 - $4000;"#2
rank";"Playful
Sociable
Lively
Patient
...";NO;"58
rank"
German Shepherd;10-13 years;$800 - $2000;"#3
rank";"Courageous
Intelligent
Loyal
Watchful
...";NO;"3
rank"
Golden Retriever;10-12 years;$1000 - $2000;"#4
rank";"Intelligent
Kind
Friendly
Confident
...";NO;"4
rank"
Bulldog;8-10 years;$2000 - $4000;"#5
rank";"Friendly
Docile
Willful
Gregarious
...";NO;"77
rank"
Poodle;12-15 years;$1200 - $2500;"#6
rank";"Intelligent
Faithful
Trainable
Instinctual
...";YES;"2
rank"
Beagle;12-15 years;$800 - $1500;"#7
rank";"Gentle
Intelligent
Even Tempered
Determined
...";NO;"72
rank"
Rottweiler;8-11 years;$1200 - $2000;"#8
rank";"Intelligent
Courageous
Fearless
Confident
...";NO;"9
rank"
German Shorthaired Pointer;12-14 years;$800 - $1500;"#9
rank";"Intelligent
Trainable
Boisterous
Cooperative
...";NO;"17
rank"
Dachshund;12-15 years;$800 - $1500;"#10
rank";"Clever
Courageous
Devoted
Lively
...";NO;"49
rank"
Pembroke Welsh Corgi;Purebred years;$1000 - $2000;"#11
rank";"Intelligent
Playful
Outgoing
Friendly
...";NO;"11
rank"
Australian Shepherd;12-15 years;$1000 - $2000;"#12
rank";"Active
Intelligent
Good-natured
Protective
...";NO;"42
rank"
Yorkshire Terrier;12-16 years;$1500 - $3000;"#13
rank";"Independent
Intelligent
Courageous
Confident
...";YES;"27
rank"
Boxer;10-12 years;$1000 - $2000;"#14
rank";"Playful
Friendly
Devoted
Loyal
...";NO;"48
rank"
Great Dane;7-10 years;$1000 - $2000;"#15
rank";"Gentle
Friendly
Devoted
Reserved
...";NO;"48
rank"
Siberian Husky;12-14 years;$600 - $1300;"#16
rank";"Gentle
Intelligent
Outgoing
Friendly
...";NO;"45
rank"
Cavalier King Charles Spaniel;10-14 years;$1500 - $2500;"#17
rank";"Playful
Sociable
Patient
Fearless
...";NO;"44
rank"
Doberman Pinscher;10-12 years;$1200 - $2500;"#18
rank";"Intelligent
Obedient
Loyal
Energetic
...";NO;"5
rank"
Miniature Schnauzer;12-14 years;$1200 - $2500;"#19
rank";"Intelligent
Friendly
Obedient
Fearless
...";YES;"12
rank"
Shih Tzu;10-16 years;$1000 - $1800;"#20
rank";"Happy
Playful
Gentle
Friendly
...";YES;"70
rank"
Labrador Retriever;10-12 years;$800 - $1500;"#1
rank";"Cheerful
Gentle
Friendly
Intelligent
...";NO;"7
rank"
French Bulldog;10-12 years;$2000 - $4000;"#2
rank";"Playful
Sociable
Lively
Patient
...";NO;"58
rank"
German Shepherd;10-13 years;$800 - $2000;"#3
rank";"Courageous
Intelligent
Loyal
Watchful
...";NO;"3
rank"
Golden Retriever;10-12 years;$1000 - $2000;"#4
rank";"Intelligent
Kind
Friendly
Confident
...";NO;"4
rank"
Bulldog;8-10 years;$2000 - $4000;"#5
rank";"Friendly
Docile
Willful
Gregarious
...";NO;"77
rank"
Poodle;12-15 years;$1200 - $2500;"#6
rank";"Intelligent
Faithful
Trainable
Instinctual
...";YES;"2
rank"
Beagle;12-15 years;$800 - $1500;"#7
rank";"Gentle
Intelligent
Even Tempered
Determined
...";NO;"72
rank"
